Time,Stage
0,1
49.12654,1
50.67857,2
74.75757,0
77.34074,1
118.0851,1
119.6927,2
146.6037,0
148.7462,1
182.5838,1
184.4529,2
227.1446,2
228.8497,3
246.8408,0
Time,Stage
0,1
Time,Stage
0,1
27.06688,0
29.04715,1
