Time,Score
0,0
34.11119,210
35.92032,210
70.0386,420
71.19258,420
104.648,700
105.9314,700
161.0771,980
163.0022,980
208.1575,1330
210.5949,1330
243.4666,1540
245.4928,1540
Time,Score
0,0
Time,Score
0,0
Time,Score
0,0
Time,Score
0,0
40.65186,210
41.97561,210
81.13647,420
82.42854,420
115.5963,710
116.7841,710
176.7105,990
178.3486,990
184.6839,1050
186.7681,0
220.2199,210
222.0462,210
264.3187,430
265.4333,430
305.0965,720
306.3239,720
343.7697,1010
345.4958,1010
410.9504,1360
