Time,Score
0,0
Time,Score
0,0
Time,Score
0,0
5,30
7,30
Time,Score
0,0
1,0
4,0
4,0
5,0
6,0
6,0
7,0
7,0
8,0
9,0
11,0
12,0
12,0
13,0
13,0
13,0
14,0
14,0
15,0
16,0
17,0
17,0
18,0
18,0
19,0
19,0
20,0
20,0
21,0
22,0
23,0
24,0
24,0
24,0
25,0
25,0
26,0
26,0
Time,Score
0,0
Time,Score
0,0
52.69316,210
56.64791,210
83.29611,390
95.52237,0
Time,Score
0,0
33.11675,210
34.65299,210
98.13937,420
98.91152,420
134.1754,700
135.0262,700
161.4332,900
163.6596,0
Time,Score
0,0
Time,Score
0,0
42.90414,210
43.95687,210
Time,Score
0,0
38.56637,210
40.40886,210
71.04001,420
72.58319,420
104.0125,700
105.2715,700
150.852,980
152.0761,980
210.1815,1330
217.6243,1330
256.6726,1540
258.4518,1540
260.6702,1540
Time,Score
Time,Score
Time,Score
Time,Score
0,0
48.2362,210
54.45504,210
81.34301,420
Time,Score
0,0
40.58319,210
48.93456,210
88.10149,420
92.09896,420
144.3008,560
150.8286,560
Time,Score
0,0
39.60465,160
44.2309,160
60.8225,250
63.38069,250
85.19057,400
87.85837,400
112.0944,550
116.3391,550
128.3428,610
131.9322,610
152.0983,710
168.4068,0
Time,Score
0,0
18.19548,90
21.65793,90
37.52475,180
40.50393,180
47.65171,230
48.80466,230
56.07761,260
57.56972,260
61.80376,280
64.77257,280
91.76126,450
97.91795,450
114.065,540
118.415,0
Time,Score
0,0
31.34798,140
37.37014,0
Time,Score
0,0
Time,Score
0,0
Time,Score
0,0
35.42216,210
37.83134,210
85.05888,420
86.31499,420
117.5236,700
118.9886,700
141.5616,800
Time,Score
0,0
Time,Score
0,0
