Time,Score
0,0
49.12654,210
50.67857,210
74.75757,380
77.34074,0
118.0851,210
119.6927,210
146.6037,390
148.7462,0
182.5838,210
184.4529,210
227.1446,420
228.8497,420
246.8408,560
Time,Score
0,0
Time,Score
0,0
27.06688,170
29.04715,0
