Time,Stage
0,1
34.11119,1
35.92032,2
70.0386,2
71.19258,3
104.648,3
105.9314,4
161.0771,4
163.0022,5
208.1575,5
210.5949,6
243.4666,6
245.4928,6
Time,Stage
0,1
Time,Stage
0,1
Time,Stage
0,1
Time,Stage
0,1
40.65186,1
41.97561,2
81.13647,2
82.42854,3
115.5963,3
116.7841,4
176.7105,4
178.3486,5
184.6839,0
186.7681,1
220.2199,1
222.0462,2
264.3187,2
265.4333,3
305.0965,3
306.3239,4
343.7697,4
345.4958,5
410.9504,5
