Time,Score
0,0
30.70623,210
33.3238,210
69.27666,430
72.87654,430
129.0428,680
131.5049,0
187.133,210
190.1736,210
230.489,420
234.8324,420
256.7258,510
268.7217,510
Time,Score
0,0
5.127677,50
