a2,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0,0,0,0,0,0
a2,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0,0,0,0,0,0
a2,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.1764706,0,0,0,0,0.1764706
try1,0.2142857,0,0,0,0,0.1935484
try2,0.1875,0,0,0,0,0.1914894
try3,0.2142857,0,0,0,0,0.1967213
try4,0.15,0,0,0,0,0.1851852
a2,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0,0,0,0,0,0
a2,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
a2,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0,0,0,0,0,0
