Time,Stage
0,1
30.70623,1
33.3238,2
69.27666,2
72.87654,3
129.0428,0
131.5049,1
187.133,1
190.1736,2
230.489,2
234.8324,3
256.7258,0
268.7217,0
Time,Stage
0,1
5.127677,1
