a6,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.0952381,0,0.03571429,0,0,0.03409091
try1,0.04761905,0.03571428,0.03571428,0,0,0.03389831
try2,0,0,0,0.0882353,0,0.03135889
try3,0.0952381,0.03571428,0,0,0,0.02992519
try4,0,0.1153846,0,0,0,0.03348214
try5,0,0,0,0,0,0.03225806
