Time,Score
0,0
48.44268,210
50.90013,210
96.32848,420
98.43287,420
158.052,700
160.4463,700
170.3949,790
172.2771,0
200.9334,210
203.4225,210
251.7275,430
253.303,430
355.6607,710
357.1162,710
366.8252,800
368.8359,0
407.1186,210
408.8483,210
447.2935,420
449.0329,420
502.9086,700
504.2643,700
562.7801,970
564.7944,0
603.4821,210
605.6843,210
656.6549,430
661.6447,430
738.7598,710
740.4462,710
775.7867,990
777.386,990
780.1866,1010
781.9794,0
819.9188,210
822.4552,210
872.7445,410
875.0063,0
900.0014,170
