Time,Stage
0,1
86.85608,1
89.10535,2
173.1158,2
175.155,3
245.8145,0
248.236,1
310.141,1
313.2108,2
405.4066,2
407.3785,3
413.9123,0
415.726,1
508.3167,1
517.4167,2
580.9294,2
582.8253,3
650.3203,0
652.7591,1
754.1227,1
771.8762,2
868.4075,2
870.2797,3
872.613,3
