Time,Stage
0,1
91.0246,1
92.96289,2
158.0408,2
159.8385,3
238.2553,3
239.8888,4
288.6129,4
290.0597,5
444.6974,5
450.3051,6
460.0761,6
Time,Stage
0,1
89.03199,1
91.04108,2
157.0417,2
158.5855,3
271.8168,3
273.1995,4
369.803,4
371.6581,5
500.3609,5
503.7682,5
Time,Stage
0,1
69.88892,1
72.50923,2
147.5758,2
148.6667,3
152.4724,3
