Time,Stage
0,1
12.36236,0
16.14648,1
25.05901,0
26.52551,1
35.30253,0
36.84012,1
46.1876,0
46.94315,1
58.01733,0
59.51539,1
71.01457,0
73.32018,0
Time,Stage
0,1
11.39526,1
