Type,Time,AllTime,Score,Block
Start,9.805462,9.803537,0,21
Hit,12.41249,12.41249,0,21
Hit,15.08454,15.08454,0,21
Hit,17.75659,17.75659,10,20
Hit,20.42834,20.42834,20,19
Hit,23.31194,23.31194,20,19
Hit,26.19639,26.19639,20,19
Hit,29.0804,29.0804,30,18
Hit,31.57221,31.57221,30,18
Miss,34.20427,34.20216,30,18
Start,0.1468491,34.58096,30,18
Hit,3.178264,37.61241,30,18
Hit,9.545438,43.97955,40,17
Miss,9.656178,44.0903,40,17
Start,0.8572794,45.3732,40,17
Miss,4.036901,48.5528,50,16
Start,0.02177922,48.82117,50,16
Miss,3.413661,52.21305,50,16
Start,0.1122191,52.5725,50,16
Miss,3.503971,55.96421,60,15
Start,0.4574504,56.66789,60,15
Miss,3.989195,60.19963,70,14
Start,0.1582043,60.60387,70,14
Miss,3.549132,63.99483,70,14
Start,1.75356,65.99593,70,14
Miss,5.145654,69.3881,70,14
Start,3.400937,75.14276,0,21
Hit,6.006323,77.74821,0,21
Hit,8.679307,80.42107,0,21
Hit,11.34979,83.09153,10,20
Hit,14.02253,85.76436,20,19
Hit,16.90714,88.64884,20,19
Hit,19.79104,91.53292,20,19
Hit,22.67515,94.41692,30,18
Hit,25.55912,97.3009,40,17
Miss,28.40337,100.1453,50,16
Start,0.185263,100.51,50,16
Hit,3.214761,103.5395,60,15
Hit,9.307329,109.632,60,15
Hit,11.33118,111.6557,60,15
Hit,13.2284,113.5529,60,15
Hit,15.12343,115.4478,60,15
Hit,17.01981,117.3441,70,14
Hit,18.92123,119.2457,80,13
Hit,21.91307,122.2379,80,13
Hit,25.12149,125.4463,80,13
Hit,27.03808,127.3629,90,12
Hit,29.10027,129.4252,100,11
Hit,31.47009,131.795,100,11
Hit,33.69112,134.0163,100,11
Hit,36.60995,136.9354,110,10
Hit,39.14618,139.4714,110,10
Hit,41.51358,141.8389,120,9
Hit,44.25942,144.5845,120,9
Hit,46.98784,147.3123,120,9
Hit,49.71643,150.0409,130,8
Hit,52.64382,152.9684,130,8
Hit,55.5722,155.8962,140,7
Hit,58.70068,159.0241,140,7
Hit,61.8271,162.1505,150,6
Hit,64.95673,165.2797,150,6
Hit,67.70829,168.0315,160,5
Miss,67.84765,168.171,160,5
Start,0.3626508,168.7725,160,5
Hit,3.606013,172.0157,160,5
Hit,6.489797,174.8995,170,4
Hit,9.373909,177.7835,180,3
Hit,12.68202,181.0911,180,3
Hit,15.77685,184.1857,180,3
Hit,19.00202,187.4102,180,3
Hit,22.01786,190.4258,190,2
Hit,25.2418,193.6499,190,2
Hit,28.25757,196.6653,190,2
Hit,31.48169,199.8889,190,2
Hit,34.70578,203.1126,190,2
Hit,37.72197,206.1286,200,1
Hit,40.96371,209.3701,200,1
Hit,43.91962,212.326,200,1
Hit,46.85999,215.2664,200,1
Hit,49.8002,218.2061,200,1
Hit,52.74702,221.1526,200,1
Start,2.748724,229.3133,210,21
Hit,5.355288,231.9196,210,21
Hit,8.027338,234.5915,210,21
Hit,10.69937,237.2636,210,21
Hit,13.37144,239.9354,210,21
