Type,Time,AllTime,Score,Block
Start,3.971089,3.969528,0,21
Hit,4.842214,4.842214,0,21
Hit,5.740012,5.740012,0,21
Hit,6.635885,6.635885,10,20
Hit,7.531312,7.531312,20,19
Hit,8.495199,8.495199,20,19
Hit,9.459303,9.459303,20,19
Hit,10.42402,10.42402,30,18
Hit,11.38785,11.38785,40,17
Hit,12.42399,12.42399,50,16
Hit,13.45981,13.45981,50,16
Hit,14.49539,14.49539,60,15
Hit,15.53191,15.53191,70,14
Hit,16.64002,16.64002,80,13
Hit,17.74788,17.74788,80,13
Hit,18.85574,18.85574,80,13
Hit,19.96206,19.96206,80,13
Hit,21.07137,21.07137,80,13
Miss,22.01832,22.01621,80,13
Start,0.1512115,22.25108,80,13
Miss,1.284211,23.38409,80,13
Start,0.02185016,23.48981,80,13
Hit,1.105643,24.57358,80,13
Miss,2.050418,25.51838,90,12
Start,0.1768682,25.77837,90,12
Hit,1.261684,26.86322,90,12
Hit,2.112278,27.71384,100,11
Hit,2.780376,28.38194,100,11
Hit,3.607709,29.20927,100,11
Hit,4.276021,29.87756,110,10
Hit,5.051823,30.65334,120,9
Hit,5.879922,31.48144,120,9
Hit,6.604326,32.20589,120,9
Hit,7.432395,33.03392,120,9
Miss,8.192707,33.7942,130,8
Start,0.2167078,34.07477,130,8
Hit,1.301635,35.15981,130,8
Hit,2.41001,36.26816,130,8
Hit,3.517766,37.37597,130,8
Hit,4.625733,38.48405,140,7
Hit,5.733908,39.59219,140,7
Miss,6.890172,40.74845,140,7
Start,0.01967184,40.84999,140,7
Hit,1.103551,41.93383,140,7
Hit,2.155343,42.98572,150,6
Miss,2.944081,43.77444,160,5
Start,0.06926562,43.91407,160,5
Hit,1.152769,44.9976,160,5
Hit,2.037335,45.88216,170,4
Hit,2.820577,46.66538,170,4
Hit,3.604309,47.44912,170,4
Hit,4.289485,48.13429,170,4
Hit,4.973269,48.81805,180,3
Hit,5.704241,49.54895,180,3
Hit,6.439386,50.28406,180,3
Hit,7.174721,51.01933,190,2
Hit,7.962854,51.80749,190,2
Hit,8.751411,52.59598,190,2
Hit,9.537704,53.38232,190,2
Hit,10.32724,54.17189,190,2
Hit,11.11537,54.96005,190,2
Hit,11.90291,55.7476,190,2
Hit,12.69144,56.5361,190,2
Hit,13.42734,57.27203,200,1
Start,2.958749,64.76486,210,21
Hit,3.832699,65.63876,210,21
Hit,4.728705,66.53468,210,21
Hit,5.624042,67.43016,210,21
Hit,6.520603,68.32664,210,21
Hit,7.416158,69.22226,210,21
Hit,8.312606,70.11877,210,21
Hit,9.208203,71.01427,220,20
Hit,10.10256,71.90862,230,19
Hit,11.06695,72.87292,230,19
Hit,12.03188,73.83787,230,19
Miss,12.90268,74.70869,240,18
Start,0.3003339,75.06877,240,18
Hit,1.241526,76.01007,250,17
Miss,2.25428,77.02271,260,16
Start,0.5626674,80.33002,0,21
Hit,1.434272,81.20162,0,21
Hit,2.331175,82.09845,0,21
Hit,3.22715,82.9945,10,20
Hit,4.122875,83.89017,20,19
Hit,5.086528,84.85381,20,19
Hit,6.051085,85.81834,20,19
Hit,7.013232,86.78064,30,18
Hit,7.979169,87.74665,40,17
Hit,9.015136,88.78262,50,16
Hit,10.05072,89.81843,50,16
Hit,11.08714,90.8549,60,15
Hit,12.12215,91.88985,70,14
Hit,13.23108,92.99889,80,13
Hit,14.33869,94.10645,80,13
Hit,15.44702,95.21481,80,13
Hit,16.55515,96.32283,80,13
Hit,17.66141,97.42908,80,13
Hit,18.55873,98.32635,80,13
Hit,19.60509,99.37276,90,12
Hit,20.52097,100.2888,100,11
Hit,21.65301,101.421,100,11
Miss,22.691,102.4589,110,10
Start,0.1316803,102.6737,110,10
Hit,1.215696,103.7577,110,10
Hit,2.252904,104.795,120,9
Hit,3.360784,105.9029,120,9
Miss,4.517244,107.0594,120,9
Start,0.3624959,107.5056,120,9
Hit,1.446765,108.5897,120,9
Hit,2.556081,109.699,130,8
Hit,3.663217,110.8061,130,8
Miss,5.012509,112.1553,150,6
Start,0.2184394,112.4572,150,6
Hit,1.304018,113.5428,150,6
Miss,2.460697,114.6994,150,6
Start,0.0682468,114.8501,150,6
Hit,1.151699,115.9336,150,6
Miss,2.309694,117.0916,160,5
Start,0.04313189,117.2171,160,5
Hit,1.128897,118.303,160,5
Miss,2.286955,119.4611,160,5
Start,0.1705769,119.7136,160,5
Hit,1.25479,120.798,160,5
Hit,2.363909,121.907,160,5
Miss,3.3763,122.9193,170,4
Start,0.384309,123.3854,170,4
Hit,1.469978,124.471,170,4
Miss,2.626203,125.6274,170,4
Start,3.137572,133.7437,0,21
Hit,4.011048,134.6169,0,21
Hit,4.906133,135.5118,0,21
Hit,5.803118,136.4087,10,20
Hit,6.699124,137.3047,20,19
Hit,7.662953,138.2685,20,19
Hit,8.626881,139.232,20,19
Hit,9.59129,140.1966,30,18
Hit,10.55483,141.1604,40,17
Hit,11.59122,142.1967,50,16
Hit,12.62701,143.2325,50,16
Hit,13.66302,144.2685,60,15
Hit,14.69744,145.3029,70,14
Hit,15.80715,146.4126,80,13
Hit,16.91472,147.5204,80,13
Hit,18.02254,148.6282,80,13
Hit,19.12927,149.735,80,13
Hit,20.23837,150.8441,80,13
Hit,21.13405,151.7398,80,13
Hit,22.18123,152.787,90,12
Hit,23.09625,153.7021,100,11
Hit,24.2292,154.8351,100,11
Hit,25.21617,155.8223,110,10
Hit,27.31056,157.9167,130,8
Hit,29.667,160.2726,130,8
Miss,29.66789,160.2735,130,8
Start,0.2214613,160.5832,130,8
Hit,1.306482,161.6683,130,8
Hit,2.342222,162.7041,140,7
Hit,3.451133,163.8134,140,7
Miss,4.608599,164.9707,140,7
Start,0.02831265,165.0795,140,7
Hit,1.114063,166.1655,140,7
Hit,2.221745,167.2731,150,6
Hit,3.329039,168.3803,150,6
Hit,4.582011,169.6332,170,4
Hit,5.688971,170.7399,170,4
Hit,6.798007,171.849,170,4
Hit,7.905838,172.9567,170,4
Hit,9.013985,174.0649,170,4
Hit,10.12343,175.1744,170,4
Miss,10.30314,175.354,170,4
Start,0.1435001,175.8152,170,4
Hit,1.228935,176.9006,170,4
Miss,2.385432,178.0571,170,4
Start,0.06858913,178.2079,170,4
Hit,1.151591,179.2908,170,4
Miss,2.310615,180.45,180,3
Start,0.08519909,180.6169,180,3
Hit,1.168785,181.7004,180,3
Miss,2.325269,182.8568,180,3
Start,0.2344634,183.1746,180,3
Hit,1.317426,184.2574,180,3
Miss,2.474633,185.4148,180,3
Start,0.7806373,186.2791,180,3
Hit,1.865864,187.3645,180,3
Hit,2.973515,188.4722,180,3
Miss,3.986426,189.4848,190,2
Start,0.5951357,191.3733,0,21
Hit,1.467346,192.2453,0,21
Hit,2.363207,193.1413,0,21
Hit,3.258401,194.0363,10,20
Hit,4.154443,194.9321,20,19
Hit,5.118548,195.8962,20,19
Hit,6.082971,196.8604,20,19
