Type,Time,AllTime,Score,Block
Start,4.618317,4.617696,0,21
Hit,5.776609,5.776609,0,21
Miss,7.031751,7.029629,0,21
Start,1.006683,8.146576,0,21
Hit,2.163939,9.303846,10,20
Hit,3.352688,10.49261,20,19
Hit,4.63562,11.77554,20,19
Hit,5.919154,13.05907,20,19
Hit,7.204669,14.3446,30,18
Hit,8.488473,15.62841,40,17
Hit,9.864248,17.00413,50,16
Miss,11.30714,18.44702,50,16
Start,0.4456273,19.0023,50,16
Hit,1.791188,20.34785,60,15
Hit,10.17143,28.72805,60,15
Hit,11.57757,30.13422,70,14
Hit,13.31403,31.87065,70,14
Hit,14.72194,33.27854,70,14
Hit,15.64706,34.20364,80,13
Hit,16.50421,35.06075,80,13
Hit,17.3599,35.91645,80,13
Hit,18.28366,36.84028,80,13
Hit,19.27577,37.83246,90,12
Hit,20.21511,38.77184,100,11
Hit,20.23202,38.78876,100,11
Miss,20.24848,38.80521,100,11
Start,0.3382031,39.22686,100,11
Hit,1.780199,40.66879,100,11
Hit,3.156243,42.04486,100,11
Hit,4.629282,43.51789,100,11
Hit,5.66598,44.55459,110,10
Hit,6.773798,45.6624,110,10
Miss,7.701087,46.58974,120,9
Start,0.4049323,47.0746,120,9
Hit,1.846488,48.51625,120,9
Hit,3.331069,50.00075,130,8
Hit,4.859111,51.52883,140,7
Miss,4.88056,51.55028,140,7
Start,0.3696384,52.0104,140,7
Hit,1.82807,53.46883,140,7
Hit,4.739079,56.37986,140,7
Hit,7.656197,59.29686,140,7
Hit,9.43783,61.07848,140,7
Hit,10.84592,62.48661,140,7
Miss,12.21632,63.85695,150,6
Start,0.2316298,64.1941,150,6
Hit,1.692147,65.65482,150,6
Miss,4.085189,68.04784,160,5
Start,0.2767492,68.41127,160,5
Hit,1.720263,69.85479,160,5
Miss,2.970242,71.10468,170,4
Start,1.190216,76.66556,0,21
Hit,2.348976,77.82434,0,21
Hit,3.5353,79.0106,0,21
Hit,4.725006,80.20016,10,20
Hit,5.912959,81.38824,20,19
Hit,7.196364,82.67167,20,19
Hit,8.481093,83.95634,20,19
Hit,9.765009,85.24024,30,18
Hit,11.04923,86.52446,40,17
Hit,12.42504,87.90033,50,16
Hit,13.80015,89.27547,50,16
Hit,15.17715,90.65238,60,15
Hit,16.55316,92.0284,70,14
Hit,18.02507,93.50049,80,13
Hit,19.49684,94.97237,80,13
Hit,20.96875,96.44415,80,13
Miss,22.79333,98.26875,80,13
Start,0.2955104,98.71378,80,13
Miss,1.804293,100.2227,80,13
Start,0.2775548,100.6099,80,13
Hit,1.737933,102.0704,80,13
Hit,5.430079,105.7623,80,13
Hit,9.196058,109.5282,80,13
Miss,9.223094,109.5552,80,13
Start,0.4328435,110.1144,80,13
Hit,1.876255,111.5578,80,13
Miss,3.13095,112.8124,80,13
Start,0.1839656,113.105,80,13
Hit,1.628234,114.5491,80,13
Hit,3.714607,116.6354,90,12
Hit,4.560215,117.481,100,11
Miss,5.647157,118.568,100,11
Start,0.1577639,118.8254,100,11
Hit,1.599975,120.2675,100,11
Miss,2.855453,121.523,110,10
Start,0.1212379,121.7529,110,10
Miss,1.631416,123.2632,110,10
Start,0.1970921,123.5686,110,10
Hit,1.638364,125.0101,110,10
Hit,2.924071,126.2958,120,9
Miss,4.003555,127.3754,130,8
Start,0.4829155,129.0571,0,21
Hit,1.640442,130.2144,0,21
Hit,2.855256,131.4288,0,21
Miss,2.955249,131.5288,0,21
Start,0.7921588,132.591,0,21
Hit,1.961725,133.7605,10,20
Hit,3.199684,134.9986,10,20
Hit,4.355083,136.154,20,19
Hit,14.03381,145.8327,20,19
Hit,14.07669,145.8756,20,19
Miss,15.06797,146.8669,20,19
Start,0.1100469,147.0647,20,19
Hit,1.370056,148.3248,30,18
Hit,2.234026,149.1888,30,18
Hit,6.749432,153.7042,40,17
Miss,11.4932,158.4479,50,16
Start,0.3140105,159.1767,50,16
Hit,1.659277,160.5217,50,16
Hit,10.04411,168.9063,50,16
Hit,11.52197,170.3839,60,15
Hit,13.12202,171.9834,70,14
Hit,13.1561,172.0174,70,14
Miss,13.19979,172.0611,70,14
Start,12.05002,184.2457,70,14
Hit,13.39482,185.5903,80,13
Hit,14.68093,186.8765,80,13
Miss,16.03279,188.2285,90,12
Start,2.187829,190.5245,90,12
Hit,3.679986,192.0168,90,12
Miss,3.691064,192.0278,90,12
Start,0.4594322,192.5645,90,12
Hit,1.90136,194.0063,90,12
Miss,3.081081,195.1859,100,11
Start,0.3130788,195.5814,100,11
Hit,1.755895,197.0238,100,11
Hit,3.131099,198.3994,100,11
Hit,4.603229,199.8714,100,11
Hit,5.886559,201.1547,100,11
Miss,7.330216,202.5983,100,11
Start,0.07922806,203.928,0,21
Hit,1.237516,205.0862,0,21
Hit,2.426394,206.275,0,21
Hit,3.613698,207.4621,10,20
Hit,4.801601,208.65,20,19
Hit,6.085625,209.934,20,19
Hit,7.370591,211.2189,20,19
Hit,8.654362,212.5024,30,18
Hit,9.941459,213.7896,40,17
Miss,10.23813,214.0862,40,17
Start,0.3279113,214.9344,40,17
Hit,1.672345,216.279,40,17
Hit,10.07993,224.6858,40,17
Miss,11.22816,225.8339,40,17
Start,0.08728892,226.0221,40,17
Hit,1.434212,227.3688,50,16
Hit,9.79265,235.7274,60,15
Hit,28.71685,254.6501,60,15
Miss,28.72227,254.6555,60,15
Start,0.415219,255.1487,60,15
Hit,1.86459,256.5981,60,15
Hit,1.894585,256.6281,60,15
Miss,1.962973,256.6966,60,15
Start,0.2453535,257.124,60,15
Miss,1.755492,258.6343,70,14
Start,0.2717991,259.0129,70,14
Miss,2.444069,261.1848,90,12
Start,0.2098331,261.5875,90,12
Hit,1.657489,263.0355,90,12
Miss,2.612674,263.9915,100,11
Start,0.3387636,264.4133,100,11
Hit,1.781415,265.8569,100,11
Miss,2.959688,267.0358,110,10
Start,0.06337702,268.3624,0,21
Hit,1.223087,269.5218,0,21
Hit,2.238583,270.5363,0,21
Miss,3.31196,271.6096,0,21
Start,3.543549,275.2492,0,21
Hit,4.704013,276.4098,10,20
Miss,5.687993,277.3932,10,20
Start,0.1716983,277.6487,10,20
Hit,1.425405,278.9029,10,20
Hit,2.6196,280.0969,10,20
Miss,2.630446,280.1077,10,20
Start,1.236439,281.4254,10,20
Miss,2.557127,282.7469,20,19
Start,0.073308,282.93,20,19
Miss,1.488238,284.3459,20,19
Start,0.4230089,284.8758,20,19
Miss,1.835457,286.2882,30,18
Start,0.3814976,286.7792,30,18
Hit,1.824227,288.222,30,18
Miss,3.078743,289.4771,40,17
Start,0.6177043,290.2041,40,17
Hit,2.06014,291.6476,50,16
Hit,3.347531,292.9348,50,16
Miss,4.238685,293.8259,60,15
Start,1.536011,297.0169,0,21
Hit,2.696663,298.1778,0,21
Hit,3.552236,299.0327,0,21
Hit,4.409738,299.89,0,21
Miss,5.313997,300.7942,0,21
Start,0.2960384,301.1677,0,21
Miss,1.520869,302.3921,10,20
Start,0.4907314,302.9912,10,20
Hit,1.743593,304.2436,10,20
Hit,2.948701,305.4479,20,19
Hit,5.41417,307.9139,20,19
Hit,5.42077,307.9205,20,19
Hit,5.422368,307.9221,20,19
Miss,5.471815,307.9716,20,19
Start,0.4797985,308.6548,20,19
Hit,1.733252,309.9084,30,18
Hit,2.67593,310.8517,40,17
Miss,3.817685,311.9932,50,16
Start,0.4200889,312.5112,50,16
Hit,1.76995,313.8613,50,16
Miss,2.730994,314.8232,60,15
Start,0.245582,315.144,60,15
Hit,1.591726,316.49,70,14
Miss,2.941781,317.8401,70,14
Start,0.394902,318.3441,70,14
Miss,1.903363,319.8534,70,14
Start,0.3104259,320.2728,70,14
Miss,1.818852,321.7818,80,13
Start,0.6960848,323.7407,0,21
Hit,1.854796,324.8989,0,21
Hit,3.04371,326.0879,0,21
Hit,4.229801,327.2736,10,20
Hit,5.41794,328.4622,20,19
Hit,6.702963,329.7466,20,19
Hit,7.995614,331.0386,20,19
Miss,9.003331,332.0461,20,19
Start,0.2308292,332.3621,20,19
Hit,1.518819,333.6497,30,18
Miss,1.550912,333.6818,30,18
Start,0.4281461,334.2258,30,18
Hit,1.772274,335.5705,30,18
Hit,10.13136,343.9312,30,18
Miss,19.88454,353.6878,50,16
Start,0.5441099,354.3516,50,16
Hit,1.889478,355.6974,60,15
Hit,3.17407,356.9826,60,15
Miss,4.429771,358.2384,60,15
Start,0.03796806,358.3848,60,15
Hit,1.4785,359.8256,60,15
Hit,2.762806,361.1103,70,14
Hit,4.2339,362.5812,70,14
Hit,5.623902,363.9721,70,14
Hit,7.312816,365.6615,90,12
Hit,8.799822,367.1492,90,12
Hit,8.807953,367.1574,90,12
