Type,Time,AllTime,Score,Block
Start,0.5650492,0.5645647,0,21
Hit,3.171003,3.171003,0,21
Hit,5.841317,5.841317,0,21
Hit,8.514713,8.514713,10,20
Hit,11.18699,11.18699,20,19
Hit,14.07095,14.07095,20,19
Hit,16.9553,16.9553,20,19
Hit,19.83808,19.83808,30,18
Hit,22.72331,22.72331,40,17
Miss,25.56621,25.56583,50,16
Start,3.778669,29.52537,50,16
Hit,6.809357,32.55613,60,15
Hit,12.88357,38.63043,60,15
Hit,22.20343,47.95037,60,15
Hit,31.52453,57.27149,60,15
Hit,40.84446,66.59138,60,15
Hit,50.90443,76.65121,70,14
