Type,Time,AllTime,Score,Block
Start,2.515127,2.508591,0,21
Hit,5.584715,5.584715,10,20
Hit,5.594065,5.594065,10,20
Hit,14.74102,14.74102,20,19
Hit,18.36738,18.36738,30,18
Hit,21.98279,21.98279,40,17
Hit,25.89439,25.89439,60,15
Hit,30.08356,30.08356,80,13
Hit,34.28505,34.28505,90,12
Hit,43.6808,43.6808,110,10
Hit,51.86932,51.86932,120,9
Hit,54.64213,54.64213,120,9
Miss,54.77719,54.76105,120,9
Start,0.9508771,56.04447,120,9
Hit,4.763931,59.8575,120,9
Miss,8.088061,63.18162,130,8
Start,1.145184,64.61254,130,8
Hit,4.968414,68.4357,130,8
Hit,4.978482,68.44576,130,8
Hit,4.982583,68.44987,130,8
Hit,13.20847,76.67584,150,6
Hit,15.37043,78.83769,160,5
Hit,18.07467,81.54189,160,5
Hit,18.09236,81.55958,160,5
Hit,18.09834,81.56557,160,5
Hit,18.10863,81.57585,160,5
Hit,18.12361,81.59084,160,5
Hit,18.15561,81.62284,160,5
Miss,18.15989,81.62712,160,5
Type,Time,AllTime,Score,Block
Start,1.708641,1.702012,0,21
Type,Time,AllTime,Score,Block
Start,1.862748,1.856721,0,21
Miss,5.106787,5.100851,10,20
Type,Time,AllTime,Score,Block
Start,0.9351035,0.9260212,0,21
Hit,3.998045,3.998045,10,20
Hit,6.457722,6.457722,20,19
Hit,8.748219,8.748219,30,18
Hit,11.23089,11.23089,40,17
Hit,13.53432,13.53432,50,16
Hit,16.01847,16.01847,60,15
Hit,18.62552,18.62552,70,14
Miss,18.97855,18.97252,70,14
Start,0.7163072,20.40695,70,14
Hit,4.602149,24.29281,80,13
Hit,4.618098,24.30876,80,13
Hit,4.62549,24.31615,80,13
Hit,4.631118,24.32178,80,13
Hit,4.642547,24.33321,80,13
Hit,4.64686,24.33752,80,13
Hit,4.653092,24.34375,80,13
Hit,4.659241,24.3499,80,13
Hit,4.697217,24.38788,80,13
Hit,4.704391,24.39505,80,13
Hit,12.42038,32.11103,90,12
Hit,20.15575,39.84649,100,11
Hit,31.02891,50.7197,140,7
Miss,36.35213,56.04291,150,6
Type,Time,AllTime,Score,Block
Start,1.663992,1.656726,0,21
Hit,4.724899,4.724899,10,20
Hit,7.8738,7.8738,20,19
Hit,11.26549,11.26549,30,18
Hit,13.85333,13.85333,40,17
Hit,16.26203,16.26203,50,16
Hit,18.48709,18.48709,60,15
Hit,21.29786,21.29786,80,13
Miss,21.33085,21.32645,80,13
Start,0.6140571,22.14458,80,13
Hit,4.58807,26.1186,100,11
Hit,7.979663,29.5102,120,9
Hit,10.92152,32.45205,130,8
Hit,15.4782,37.00869,150,6
Hit,19.18231,40.71274,160,5
Hit,22.29008,43.82051,170,4
Hit,25.05345,46.58385,170,4
Hit,27.78983,49.32023,180,3
Hit,31.01826,52.54861,180,3
Hit,34.243,55.77333,180,3
Hit,37.27037,58.8007,190,2
Hit,42.49906,64.0294,190,2
Hit,45.37007,66.90054,190,2
Hit,48.04819,69.57868,200,1
Hit,54.4024,75.9329,200,1
Hit,57.21217,78.74264,200,1
Hit,62.13213,83.66267,200,1
Hit,68.38182,89.91242,200,1
Hit,68.38602,89.91662,200,1
Hit,68.39686,89.92746,200,1
Hit,71.86721,93.39781,200,1
Miss,71.91089,93.44149,200,1
Type,Time,AllTime,Score,Block
Start,0.8419923,0.8332502,0,21
Hit,3.736032,3.736032,10,20
Hit,6.701838,6.701838,20,19
Hit,9.90638,9.90638,30,18
Hit,13.11067,13.11067,40,17
Hit,16.54773,16.54773,60,15
Hit,19.99207,19.99207,80,13
Hit,23.66302,23.66302,80,13
Hit,26.86914,26.86914,90,12
Hit,30.07526,30.07526,100,11
Hit,47.12093,47.12093,110,10
Hit,56.51043,56.51043,130,8
Hit,67.14665,67.14665,140,7
Hit,81.46293,81.46293,150,6
Hit,95.40675,95.40675,160,5
Hit,106.2074,106.2074,170,4
Miss,115.1084,115.1043,190,2
Start,3.960967,119.2854,190,2
Hit,7.561024,122.8855,190,2
Hit,10.50829,125.8328,200,1
Clear,11.84516,127.1756,210,0
Start,1.052746,130.6355,210,21
