Type,Time,AllTime,Score,Block
Start,1.345266,1.337565,0,21
Hit,2.498649,2.498649,10,20
Hit,3.686662,3.686662,20,19
Hit,4.973171,4.973171,30,18
Hit,6.258816,6.258816,40,17
Hit,7.633849,7.633849,60,15
Miss,9.079855,9.073838,80,13
Start,0.4271037,9.614916,80,13
Hit,1.866066,11.05388,90,12
Miss,3.202267,12.39008,100,11
Start,0.6872369,13.1513,100,11
Hit,2.126969,14.59103,100,11
Miss,3.501994,15.96605,110,10
Start,0.4725341,16.55258,110,10
Miss,1.988058,18.0681,110,10
Start,0.5214001,20.45481,0,21
Hit,1.676913,21.61033,10,20
Hit,2.866027,22.79944,20,19
Hit,4.147961,24.08137,30,18
Hit,5.439667,25.37307,40,17
Hit,5.446139,25.37955,40,17
Hit,5.475321,25.40873,40,17
Hit,5.48714,25.42055,40,17
Hit,5.493033,25.42644,40,17
Hit,5.499356,25.43276,40,17
Hit,5.505026,25.43843,40,17
Hit,5.512228,25.44563,40,17
Hit,5.517975,25.45138,40,17
Hit,5.524055,25.45746,40,17
Hit,5.530051,25.46346,40,17
Miss,5.576247,25.50965,40,17
Start,0.4894927,26.19391,40,17
Miss,1.903209,27.60762,50,16
Start,0.8463489,28.55884,50,16
Hit,2.288289,30.00079,60,15
Hit,3.662332,31.37483,70,14
Hit,5.140353,32.85282,80,13
Hit,6.609222,34.3217,80,13
Hit,8.061396,35.77387,90,12
Hit,10.64876,38.36129,100,11
Hit,14.65449,42.36702,110,10
Hit,18.83065,46.54319,130,8
Hit,23.26493,50.97749,150,6
Hit,27.43308,55.14561,160,5
Miss,27.43897,55.1515,160,5
Start,0.5293562,55.75893,160,5
Hit,1.972568,57.20216,160,5
Miss,3.156025,58.3856,180,3
Start,0.4919185,60.512,0,21
Hit,1.644871,61.66492,10,20
Hit,2.833935,62.85398,20,19
Hit,4.119144,64.13916,30,18
Hit,5.415053,65.43501,40,17
Hit,5.436927,65.45689,40,17
Hit,5.446942,65.4669,40,17
Hit,5.452976,65.47293,40,17
Hit,5.458994,65.47895,40,17
Hit,5.464993,65.48495,40,17
Hit,5.471009,65.49097,40,17
Miss,5.485307,65.50527,40,17
Start,0.4579382,66.072,40,17
Hit,1.80001,67.41409,50,16
Hit,10.30628,75.92036,60,15
Hit,11.36142,76.97546,60,15
Hit,12.43331,78.04736,60,15
Miss,12.48729,78.10135,60,15
Start,0.3969732,78.61451,60,15
Miss,1.911924,80.12939,70,14
Start,0.3618964,80.59093,70,14
Hit,2.502469,82.73151,100,11
Hit,2.511159,82.7402,100,11
Miss,2.517592,82.74663,100,11
Start,0.2730356,84.68111,0,21
Hit,1.428323,85.8364,10,20
Hit,2.61626,87.02429,20,19
Hit,3.902276,88.31027,30,18
Hit,5.185719,89.5937,40,17
Hit,6.561481,90.96944,60,15
Hit,7.945571,92.35352,80,13
Hit,8.925725,93.33368,90,12
Hit,10.59949,95.00741,100,11
Hit,11.75655,96.16448,100,11
Hit,12.68065,97.08859,110,10
Hit,13.83257,98.24051,110,10
Miss,14.89757,99.30549,120,9
Start,0.3582281,99.74485,120,9
Hit,1.798985,101.1856,120,9
Miss,3.247089,102.6338,140,7
Start,0.2660717,103.0009,140,7
Hit,1.705929,104.4408,140,7
Hit,3.092224,105.8271,160,5
Hit,3.101706,105.8366,160,5
Hit,3.112112,105.847,160,5
Hit,3.118992,105.8539,160,5
Hit,3.124998,105.8599,160,5
Miss,3.136976,105.8718,160,5
Start,0.4892732,106.4491,160,5
Hit,1.929132,107.889,160,5
Hit,3.391867,109.3517,160,5
Miss,4.850205,110.81,170,4
Start,0.09983037,112.2437,0,21
Hit,1.253798,113.3976,10,20
Hit,2.44187,114.5857,20,19
Hit,3.725029,115.8688,30,18
Hit,5.013961,117.1577,40,17
Hit,6.387911,118.5316,60,15
Hit,7.778011,119.9217,80,13
Miss,9.32022,121.4639,90,12
Start,0.2969595,121.8871,90,12
Hit,1.733818,123.324,100,11
Miss,3.070727,124.6609,110,10
Start,0.37259,125.1085,110,10
Hit,1.813973,126.5499,110,10
Hit,3.190154,127.9261,130,8
Hit,4.664111,129.4001,130,8
Miss,5.563155,130.2991,140,7
Start,0.2968681,130.6702,140,7
Miss,1.812855,132.1862,140,7
Start,0.5111471,134.0511,0,21
Hit,1.668055,135.208,10,20
Hit,2.855109,136.3951,20,19
Hit,4.14119,137.6812,30,18
Hit,5.425181,138.9652,40,17
Hit,6.800369,140.3404,60,15
Hit,8.175233,141.7152,80,13
Hit,9.645269,143.1852,80,13
Miss,11.00241,144.5424,90,12
Start,0.2726548,144.9224,90,12
Miss,1.785613,146.4353,100,11
Start,0.198936,146.7353,100,11
Hit,1.637529,148.1739,100,11
Hit,2.788081,149.3243,100,11
Hit,3.721313,150.2576,110,10
Hit,4.872211,151.4084,110,10
Hit,5.818334,152.3546,120,9
Hit,5.836206,152.3724,120,9
Hit,5.842223,152.3784,120,9
Hit,5.846279,152.3825,120,9
Hit,5.853191,152.3894,120,9
Hit,5.857372,152.3936,120,9
Hit,5.863183,152.3994,120,9
Hit,5.869211,152.4054,120,9
Hit,5.875229,152.4114,120,9
Miss,5.900317,152.4365,120,9
Start,0.4675636,153.05,120,9
Hit,1.909068,154.4916,120,9
Hit,6.136359,158.7189,130,8
Miss,7.578287,160.1609,140,7
Start,0.1841942,161.8317,0,21
Hit,1.339883,162.9874,10,20
Hit,2.525973,164.1735,20,19
Hit,3.812069,165.4596,30,18
Hit,5.100267,166.7477,40,17
Hit,6.042072,167.6895,50,16
Miss,6.056603,167.704,50,16
Start,0.2721081,168.0546,50,16
Hit,1.617238,169.3998,60,15
Hit,10.19521,177.9777,70,14
Miss,11.48962,179.2722,80,13
Start,0.5631428,179.9272,80,13
Hit,2.675998,182.04,110,10
Miss,2.700127,182.0641,110,10
Start,0.4856235,182.6247,110,10
Hit,1.927275,184.0663,110,10
Miss,3.107066,185.2461,130,8
Start,0.2249473,186.7329,0,21
Hit,1.382137,187.8901,10,20
Hit,2.571107,189.0792,20,19
Hit,3.854306,190.3624,30,18
Hit,5.139157,191.6472,40,17
Hit,6.515795,193.024,60,15
Miss,7.96124,194.4694,80,13
Start,0.3185783,194.8931,80,13
Hit,1.759839,196.3343,90,12
Miss,3.092972,197.6675,100,11
Start,0.5125612,198.2514,100,11
Miss,2.022821,199.7618,100,11
Start,0.5232677,200.3891,100,11
Hit,1.963995,201.8298,100,11
Hit,3.564828,203.4306,110,10
Miss,4.461237,204.3271,120,9
Start,0.2399881,205.7847,0,21
Hit,1.398451,206.9432,10,20
Hit,2.58549,208.1301,20,19
Hit,3.86858,209.4133,30,18
Miss,5.224056,210.7688,40,17
Start,0.631756,211.5039,40,17
Hit,1.979137,212.8512,50,16
Hit,10.37634,221.2485,60,15
Hit,11.59085,222.4631,70,14
Hit,11.59645,222.4687,70,14
Hit,11.60242,222.4746,70,14
Hit,11.60958,222.4818,70,14
Miss,11.61752,222.4897,70,14
Start,0.4210613,222.9828,70,14
Hit,1.917932,224.4796,80,13
Miss,1.93117,224.4928,80,13
Start,0.3535758,224.9215,80,13
Hit,2.407721,226.9757,110,10
Hit,13.89904,238.4668,150,6
Hit,15.21202,239.7796,150,6
Hit,16.37415,240.9418,160,5
Hit,16.39116,240.9588,160,5
Hit,16.46412,241.0317,160,5
Hit,16.47012,241.0378,160,5
Hit,17.43332,242.0009,170,4
Hit,18.55244,243.12,170,4
Miss,18.6165,243.184,170,4
Start,0.09288986,244.7593,0,21
Hit,1.251489,245.9178,10,20
Hit,2.434787,247.1011,20,19
Hit,3.719784,248.3861,30,18
Hit,5.014625,249.681,40,17
Hit,5.027795,249.6942,40,17
Hit,5.033658,249.7,40,17
Hit,5.039629,249.706,40,17
Hit,5.04566,249.712,40,17
Hit,5.051706,249.7181,40,17
Hit,5.066773,249.7331,40,17
Hit,5.076678,249.743,40,17
Hit,5.082568,249.7489,40,17
Hit,5.086895,249.7533,40,17
Hit,5.092553,249.7589,40,17
Hit,5.098671,249.765,40,17
Hit,5.104606,249.771,40,17
Hit,5.110634,249.777,40,17
Hit,5.116621,249.783,40,17
Miss,5.185638,249.852,40,17
Start,0.4536276,250.5821,40,17
Hit,1.798623,251.927,50,16
Hit,10.45923,260.5878,60,15
Hit,11.97305,262.1017,70,14
Hit,11.97794,262.1065,70,14
Miss,11.98534,262.1139,70,14
Start,0.4124929,262.6028,70,14
Hit,1.856396,264.0467,80,13
Hit,2.797361,264.9876,90,12
Hit,2.803342,264.9936,90,12
Miss,2.819396,265.0096,90,12
Start,0.3736089,265.4531,90,12
Miss,2.011337,267.0906,110,10
Start,0.1127186,268.5536,0,21
Hit,1.265932,269.7068,10,20
Hit,2.458987,270.8998,20,19
Hit,3.742081,272.1829,30,18
Hit,5.022999,273.4639,40,17
Hit,6.402095,274.843,60,15
Hit,7.777019,276.218,80,13
Hit,13.54538,281.9859,90,12
Hit,13.55853,281.9991,90,12
Hit,14.67102,283.1118,100,11
Miss,16.00355,284.4444,100,11
Start,0.2020708,284.7363,100,11
Hit,1.644162,286.1783,100,11
