E16,40,10,84.93377417
E3,20,15,163.1450765
E28,50,35,104.2483672
E20,40,30,111.8236614
E9,30,10,108.7633843
E14,30,35,142.3757434
E41,70,30,81.18559121
E13,30,30,135.6532716
E6,20,30,183.312492
E30,60,10,61.10416399
E18,40,20,98.3787178
E11,30,20,122.208328
E19,40,25,105.1011896
E7,20,35,190.0349638
E23,50,10,70.63600806
E17,40,15,91.65624599
E39,70,20,67.74064758
E35,60,35,94.71652308
E32,60,20,74.54910763
E33,60,25,81.27157944
E2,20,10,156.4226047
E25,50,20,84.0809517
E21,40,35,118.5461333
E5,20,25,176.5900202
E31,60,15,67.82663581
E38,70,15,61.01817576
E1,20,5,149.7001329
E4,20,20,169.8675483
E36,70,5,47.57323212
E24,50,15,77.35847988
E26,50,25,90.80342352
E27,50,30,97.52589533
E29,60,5,54.38169217
E12,30,25,128.9307998
E34,60,30,87.99405126
E22,50,5,63.91353624
E15,40,5,78.21130235
E37,70,10,54.29570394
E8,30,5,102.0409125
E10,30,15,115.4858562
E40,70,25,74.46311939
E42,70,35,87.90806303
