D8,30,5,102.0409125
D23,50,10,70.63600806
D9,30,10,108.7633843
D29,60,5,54.38169217
D42,70,35,87.90806303
D3,20,15,163.1450765
D4,20,20,169.8675483
D17,40,15,91.65624599
D10,30,15,115.4858562
D15,40,5,78.21130235
D6,20,30,183.312492
D38,70,15,61.01817576
D5,20,25,176.5900202
D39,70,20,67.74064758
D2,20,10,156.4226047
D18,40,20,98.3787178
D13,30,30,135.6532716
D14,30,35,142.3757434
D36,70,5,47.57323212
D24,50,15,77.35847988
D20,40,30,111.8236614
D26,50,25,90.80342352
D19,40,25,105.1011896
D22,50,5,63.91353624
D32,60,20,74.54910763
D30,60,10,61.10416399
D40,70,25,74.46311939
D31,60,15,67.82663581
D33,60,25,81.27157944
D12,30,25,128.9307998
D27,50,30,97.52589533
D35,60,35,94.71652308
D34,60,30,87.99405126
D11,30,20,122.208328
D41,70,30,81.18559121
D28,50,35,104.2483672
D37,70,10,54.29570394
D16,40,10,84.93377417
D1,20,5,149.7001329
D25,50,20,84.0809517
D7,20,35,190.0349638
D21,40,35,118.5461333
