13,40,5,78.21130235
30,60,30,87.99405126
26,60,10,61.10416399
9,30,15,115.4858562
1,20,5,149.7001329
29,60,25,81.27157944
11,30,25,128.9307998
3,20,15,163.1450765
6,20,30,183.312492
18,40,30,111.8236614
5,20,25,176.5900202
14,40,10,84.93377417
7,30,5,102.0409125
2,20,10,156.4226047
21,50,15,77.35847988
25,60,5,54.38169217
8,30,10,108.7633843
12,30,30,135.6532716
10,30,20,122.208328
22,50,20,84.0809517
19,50,5,63.91353624
15,40,15,91.65624599
28,60,20,74.54910763
27,60,15,67.82663581
4,20,20,169.8675483
17,40,25,105.1011896
16,40,20,98.3787178
24,50,30,97.52589533
20,50,10,70.63600806
23,50,25,90.80342352
