17,40,25,105.1011896
23,50,25,90.80342352
7,30,5,102.0409125
3,20,15,163.1450765
20,50,10,70.63600806
16,40,20,98.3787178
10,30,20,122.208328
14,40,10,84.93377417
27,60,15,67.82663581
24,50,30,97.52589533
8,30,10,108.7633843
4,20,20,169.8675483
25,60,5,54.38169217
28,60,20,74.54910763
19,50,5,63.91353624
1,20,5,149.7001329
15,40,15,91.65624599
13,40,5,78.21130235
11,30,25,128.9307998
26,60,10,61.10416399
5,20,25,176.5900202
6,20,30,183.312492
22,50,20,84.0809517
9,30,15,115.4858562
2,20,10,156.4226047
12,30,30,135.6532716
29,60,25,81.27157944
21,50,15,77.35847988
30,60,30,87.99405126
18,40,30,111.8236614
