Type,Time,AllTime,Score,Block
Start,9.619816,9.617947,0,21
Hit,10.78204,10.78204,10,20
Hit,11.97768,11.97768,20,19
Hit,13.27025,13.27025,30,18
Hit,14.45074,14.45074,50,16
Hit,15.44214,15.44214,60,15
Hit,16.53049,16.53049,70,14
Hit,17.69451,17.69451,80,13
Hit,18.70271,18.70271,90,12
Hit,19.71056,19.71056,100,11
Hit,21.25673,21.25673,120,9
Miss,21.26222,21.2618,120,9
Start,0.7614923,22.12353,120,9
Hit,2.11083,23.47288,130,8
Hit,3.496295,24.85836,140,7
Hit,4.880314,26.24237,150,6
Hit,6.171775,27.53385,160,5
Hit,7.278674,28.64067,170,4
Hit,8.481791,29.84378,180,3
Hit,10.006,31.36791,180,3
Hit,11.53061,32.89256,190,2
Hit,13.05419,34.41616,200,1
Hit,14.57772,35.93972,200,1
Hit,16.10269,37.46474,200,1
Hit,17.62681,38.98896,200,1
Hit,19.15026,40.5125,200,1
Hit,20.69873,42.06112,200,1
Hit,20.70017,42.06256,200,1
Hit,20.7666,42.12897,200,1
Miss,20.77855,42.14091,200,1
Start,1.026696,43.24279,200,1
Hit,2.472457,44.68871,200,1
Hit,3.952202,46.16852,200,1
Hit,5.43204,47.6483,200,1
Clear,6.225875,48.44268,210,0
Start,1.261695,52.16357,210,21
Hit,2.425145,53.32705,210,21
Hit,3.62127,54.52319,210,21
Hit,4.817253,55.71914,220,20
Hit,6.013149,56.91501,230,19
Hit,7.304112,58.20599,240,18
Hit,8.596439,59.49828,260,16
Hit,9.889213,60.79106,270,15
Hit,11.9392,62.84109,280,14
Hit,14.13439,65.03644,290,13
Hit,16.33023,67.23222,310,11
Hit,18.67895,69.58107,310,11
Hit,21.02639,71.9285,320,10
Hit,22.43533,73.33743,330,9
Hit,23.54222,74.44451,330,9
Hit,24.58333,75.48563,340,8
Hit,25.5507,76.45296,340,8
Hit,26.5175,77.41976,350,7
Hit,27.48667,78.38901,360,6
Hit,28.59518,79.49751,360,6
Hit,29.7025,80.60492,360,6
Hit,30.74327,81.64582,370,5
Hit,31.85073,82.75347,370,5
Hit,32.95913,83.86188,370,5
Hit,34.0673,84.96998,370,5
Hit,35.17469,86.0774,380,4
Hit,36.2149,87.11768,390,3
Hit,37.11465,88.01738,400,2
Hit,38.22329,89.1259,400,2
Hit,39.33147,90.23431,400,2
Hit,40.43834,91.34122,410,1
Hit,41.5473,92.45004,410,1
Hit,42.5857,93.48843,410,1
Hit,43.69471,94.59756,410,1
Hit,44.80249,95.70569,410,1
Clear,45.42454,96.32848,420,0
Start,2.730367,101.1651,420,28
Hit,3.800508,102.2352,430,27
Hit,6.6359,105.0707,450,25
Hit,11.40471,109.8397,460,24
Hit,16.8425,115.2775,480,22
Hit,22.08224,120.5173,490,21
Hit,25.55252,123.9876,500,20
Hit,27.40074,125.836,510,19
Hit,29.24795,127.683,520,18
Hit,31.24055,129.6753,530,17
Hit,33.23281,131.6676,540,16
Hit,34.97095,133.4053,560,14
Miss,36.32198,134.7561,570,13
Start,0.992846,135.8597,570,13
Hit,2.251536,137.1184,580,12
Hit,3.447837,138.3143,590,11
Hit,4.831738,139.698,610,9
Hit,6.122597,140.9887,620,8
Hit,7.604029,142.4701,630,7
Hit,8.98798,143.854,650,5
Hit,10.28994,145.1561,660,4
Hit,11.33781,146.2037,660,4
Hit,12.38579,147.2516,660,4
Hit,13.43379,148.2995,660,4
Hit,14.48202,149.3477,660,4
Hit,15.52891,150.3947,660,4
Hit,16.50945,151.3752,670,3
Hit,17.55782,152.4236,670,3
Hit,18.60432,153.4702,670,3
Hit,19.65384,154.5197,670,3
Hit,20.63254,155.4985,680,2
Hit,21.68172,156.5477,680,2
Hit,22.59323,157.4592,690,1
Clear,23.18584,158.052,700,0
Start,0.9780636,161.4263,700,28
Hit,2.049112,162.4973,700,28
Hit,3.043599,163.4918,720,26
Hit,3.919753,164.3681,730,25
Hit,4.795893,165.2443,740,24
Hit,5.705679,166.154,750,23
Hit,6.729874,167.1784,750,23
Hit,7.833149,168.2816,770,21
Hit,8.776814,169.2253,770,21
Hit,9.843689,170.2919,790,19
Miss,9.85347,170.3016,790,19
Start,0.7616604,173.0405,0,21
Hit,1.924125,174.2029,10,20
Hit,3.118402,175.3974,20,19
Hit,4.41205,176.6907,30,18
Hit,5.592209,177.8707,50,16
Hit,6.582195,178.8605,60,15
Hit,7.660624,179.939,70,14
Hit,8.821466,181.0999,80,13
Hit,9.825219,182.1036,90,12
Miss,11.03885,183.3172,110,10
Start,0.7434787,184.1522,110,10
Hit,2.091876,185.5009,120,9
Hit,3.385164,186.7941,130,8
Hit,4.677084,188.086,140,7
Hit,5.873232,189.2819,150,6
Hit,7.353924,190.7627,160,5
Hit,8.737795,192.147,170,4
Hit,10.21668,193.6257,170,4
