Type,Time,AllTime,Score,Block
Start,2.153734,2.153179,0,21
Hit,4.766305,4.766305,10,20
Hit,7.454288,7.454288,20,19
Hit,10.35585,10.35585,30,18
Hit,13.25563,13.25563,40,17
Hit,15.71406,15.71406,50,16
Hit,17.91309,17.91309,60,15
Hit,20.45685,20.45685,70,14
Hit,22.65731,22.65731,80,13
Hit,25.02993,25.02993,90,12
Hit,27.74982,27.74982,90,12
Hit,30.29393,30.29393,100,11
Hit,33.01398,33.01398,100,11
Hit,35.734,35.734,110,10
Hit,38.10456,38.10456,120,9
Hit,40.35748,40.35748,130,8
Hit,42.63786,42.63786,140,7
Hit,44.99398,44.99398,140,7
Hit,47.34962,47.34962,140,7
Hit,49.55301,49.55301,150,6
Hit,51.90813,51.90813,150,6
Hit,54.26475,54.26475,150,6
Hit,56.1688,56.1688,160,5
Hit,58.09945,58.09945,170,4
Hit,60.36349,60.36349,180,3
Hit,62.78379,62.78379,180,3
Hit,65.20377,65.20377,180,3
Hit,67.46729,67.46729,190,2
Hit,69.88689,69.88689,190,2
Hit,71.99973,71.99973,200,1
Hit,74.41999,74.41999,200,1
Hit,76.83922,76.83922,200,1
Clear,78.07362,78.07362,210,0
Start,1.68107,83.79545,210,21
Hit,4.294877,86.40931,210,21
Hit,6.982957,89.09744,210,21
Hit,9.67201,91.78635,220,20
Hit,12.36005,94.47428,230,19
Hit,15.25802,97.37199,240,18
Hit,18.15919,100.2733,250,17
Hit,21.06,103.174,260,16
Hit,23.95971,106.0735,280,14
Hit,26.8598,108.9737,290,13
Hit,29.97143,112.0854,310,11
Hit,33.08256,115.1966,320,10
Hit,36.196,118.31,330,9
Hit,38.88321,120.9974,340,8
Hit,41.99483,124.1094,360,6
Hit,45.1077,127.2223,370,5
Hit,48.43163,130.5468,370,5
Hit,51.75381,133.8698,380,4
Hit,55.07944,137.1962,380,4
Hit,58.19122,140.3078,390,3
Hit,61.02532,143.1418,400,2
Hit,64.15233,146.2688,410,1
Clear,65.7181,147.8349,420,0
Start,1.191789,151.0993,420,28
Hit,3.593912,153.5008,430,27
Hit,6.07021,155.9769,440,26
Hit,8.547053,158.4535,450,25
Hit,11.02294,160.9292,460,24
Hit,13.49831,163.4046,470,23
Hit,15.97415,165.8802,480,22
Hit,18.66228,168.5686,490,21
Hit,21.5622,171.4686,510,19
Hit,24.67422,174.5805,520,18
Hit,27.36252,177.2685,530,17
Hit,30.26247,180.1686,540,16
Hit,33.16114,183.0675,560,14
Hit,36.48679,186.3928,560,14
Hit,39.59801,189.5042,580,12
Hit,42.71104,192.6173,590,11
Hit,46.03451,195.9405,590,11
Hit,48.93341,198.8394,600,10
Hit,51.83335,201.7392,620,8
Hit,54.65016,204.5563,630,7
Hit,59.99486,209.9006,640,6
Hit,66.35058,216.2564,640,6
Hit,72.70694,222.6124,640,6
Hit,78.40275,228.3084,650,5
Hit,82.34093,232.2469,660,4
Hit,86.98893,236.895,670,3
Hit,87.42441,237.3304,670,3
Miss,87.43948,237.3455,670,3
Start,1.775449,239.2957,670,3
Hit,4.602355,242.1224,680,2
Hit,7.926464,245.4466,680,2
Hit,11.24986,248.7701,680,2
Hit,14.57425,252.0944,680,2
Hit,17.89696,255.4171,680,2
Hit,21.0105,258.5299,690,1
Hit,24.3342,261.8525,690,1
Hit,27.65851,265.1767,690,1
Clear,29.31997,266.8381,700,0
Start,1.780303,271.0178,700,28
Hit,4.182652,273.4189,700,28
Hit,6.69544,275.9305,720,26
Hit,9.202424,278.4364,730,25
Hit,12.13855,281.3716,740,24
Hit,15.07487,284.3066,760,22
Hit,18.00962,287.2411,770,21
Hit,21.16172,290.3922,790,19
Hit,24.31538,293.545,810,17
Hit,27.68222,296.9111,820,16
Hit,31.05038,300.2793,830,15
Hit,35.77545,305.0039,890,9
Hit,38.98088,308.2096,900,8
Hit,40.93556,310.1643,910,7
Hit,43.74574,312.9763,920,6
Hit,46.02375,315.2556,930,5
Hit,50.36767,319.5998,940,4
Hit,54.93995,324.1731,940,4
Hit,59.51016,328.7432,940,4
Hit,64.08386,333.3172,940,4
Hit,68.65595,337.8904,940,4
Hit,73.22707,342.4622,940,4
Hit,77.7999,347.0342,940,4
Hit,82.37106,351.6059,940,4
Hit,87.61942,356.8531,960,2
Hit,91.10862,360.3424,970,1
Hit,95.78139,365.0129,970,1
Clear,98.20394,367.4342,980,0
Start,1.250283,370.634,980,35
Hit,3.440395,372.8243,990,34
Hit,5.704362,375.0884,1000,33
Hit,7.968027,377.3508,1010,32
Hit,10.09435,379.4761,1020,31
Hit,12.04996,381.432,1030,30
Hit,14.18995,383.5724,1030,30
Hit,16.14588,385.5289,1040,29
Hit,18.28628,387.669,1040,29
Hit,20.42527,389.8073,1040,29
Hit,22.56589,391.9475,1050,28
Miss,24.82963,394.211,1060,27
Start,0.7753091,395.1991,1060,27
Hit,3.601627,398.0256,1070,26
Hit,5.866124,400.2894,1080,25
Hit,8.612077,403.0368,1080,25
Hit,11.62244,406.0488,1090,24
Hit,14.63521,409.0634,1090,24
Hit,17.64803,412.0767,1100,23
Hit,20.65987,415.0898,1100,23
Hit,23.67105,418.1022,1100,23
Hit,26.68317,421.1156,1110,22
Hit,29.6959,424.1293,1120,21
Hit,33.22688,427.6606,1140,19
Hit,36.76006,431.195,1140,19
Hit,40.29111,434.7269,1170,16
Hit,43.82374,438.2598,1180,15
Hit,47.35531,441.7916,1190,14
Hit,50.88813,445.3253,1200,13
Hit,54.4192,448.8553,1210,12
Hit,58.20782,452.6436,1230,10
Hit,63.69555,458.1296,1240,9
Hit,71.14474,465.5757,1240,9
Hit,78.59284,473.0198,1250,8
Hit,86.0402,480.4655,1260,7
Hit,94.0313,488.4539,1270,6
Hit,100.5067,494.9271,1280,5
Hit,105.6593,500.0788,1300,3
Hit,111.2,505.6175,1310,2
Hit,115.8182,510.2366,1320,1
Hit,119.7665,514.1829,1320,1
Hit,123.7139,518.1279,1320,1
Clear,125.6631,520.0761,1330,0
Start,3.313469,527.9535,1330,21
Hit,5.928253,530.5647,1340,20
