Type,Time,AllTime,Score,Block
Start,2.520279,2.519724,0,21
Hit,3.394722,3.394722,10,20
Hit,4.294876,4.294876,20,19
Hit,5.262741,5.262741,30,18
Hit,6.230752,6.230752,40,17
Hit,7.164557,7.164557,50,16
Hit,8.262935,8.262935,70,14
Hit,9.364701,9.364701,80,13
Miss,10.36603,10.3657,90,12
Start,0.7875968,11.24034,90,12
Hit,1.874004,12.32674,100,11
Miss,2.878031,13.33078,110,10
Start,0.5236945,13.91238,110,10
Hit,1.609199,14.99787,110,10
Hit,2.649309,16.03798,130,8
Hit,3.761882,17.15055,130,8
Miss,4.920788,18.3094,130,8
Start,0.7364035,19.12897,130,8
Hit,1.824247,20.21679,130,8
Miss,2.877508,21.27006,140,7
Start,0.5756546,25.14391,0,21
Hit,1.451379,26.0196,10,20
Hit,2.350976,26.91921,20,19
Hit,3.319381,27.8876,30,18
Hit,4.287329,28.85557,40,17
Hit,5.221475,29.78973,50,16
Hit,6.327405,30.89563,70,14
Hit,7.242753,31.81096,70,14
Hit,7.983165,32.55135,90,12
Hit,8.895029,33.46326,90,12
Miss,9.728995,34.29728,100,11
Start,0.4015206,34.76724,100,11
Hit,1.41593,35.7816,110,10
Miss,2.431344,36.79697,120,9
Start,0.5126252,37.39122,120,9
Hit,1.599068,38.47772,120,9
Hit,2.638666,39.51733,140,7
Hit,3.750811,40.62952,140,7
Miss,4.7795,41.65818,150,6
Start,0.3680495,42.08767,150,6
Hit,1.453915,43.17351,150,6
Miss,2.506385,44.226,160,5
Start,0.5266426,46.94539,0,21
Hit,1.401689,47.82042,10,20
Hit,2.30054,48.71926,20,19
Hit,3.269551,49.68832,30,18
Hit,4.238209,50.657,40,17
Hit,5.172114,51.59098,50,16
Hit,6.270476,52.68944,70,14
Hit,7.372263,53.79132,80,13
Miss,8.373311,54.79239,90,12
Start,0.4274316,55.30556,90,12
Hit,1.514909,56.39301,100,11
Miss,2.51816,57.39627,110,10
Start,0.4267238,57.88193,110,10
Hit,1.513632,58.96889,110,10
Hit,2.552023,60.00731,130,8
Hit,3.69583,61.15106,130,8
Miss,3.707183,61.16242,130,8
Start,0.6106105,61.83302,130,8
Hit,1.696553,62.91894,130,8
Miss,2.749124,63.97142,140,7
Start,0.4949399,65.96464,0,21
Hit,1.368501,66.83849,10,20
Hit,2.269339,67.73943,20,19
Hit,3.236435,68.70662,30,18
Hit,4.204546,69.67473,40,17
Hit,5.139402,70.60968,50,16
Hit,6.238267,71.70853,70,14
Hit,7.339293,72.80953,80,13
Miss,8.340901,73.81105,90,12
Start,0.2437708,74.14037,90,12
Hit,1.330735,75.22742,100,11
Miss,2.334227,76.2308,110,10
Start,0.3961923,76.68438,110,10
Hit,1.482974,77.77105,110,10
Hit,2.523117,78.8113,130,8
Hit,3.635345,79.92329,130,8
Miss,4.793614,81.0815,130,8
Start,0.2791634,81.44389,130,8
Hit,1.366466,82.53133,130,8
Miss,2.419781,83.5846,140,7
Start,0.4163886,85.4923,0,21
Hit,1.291462,86.36759,10,20
Hit,2.19082,87.26701,20,19
Hit,3.160225,88.23649,30,18
Hit,4.12822,89.20438,40,17
Hit,5.06223,90.13847,50,16
Hit,6.160315,91.23667,70,14
Hit,7.261325,92.33759,80,13
Miss,8.263335,93.33955,90,12
