Type,Time,AllTime,Score,Block
Start,1.426859,1.426314,0,21
Hit,4.119611,4.119611,10,20
Hit,4.123197,4.123197,10,20
Hit,4.125014,4.125014,10,20
Miss,4.17135,4.171075,10,20
Start,0.8636103,5.234878,10,20
Hit,3.690019,8.061275,20,19
Hit,6.377551,10.74883,30,18
Hit,9.504064,13.87532,50,16
Hit,11.69195,16.06321,60,15
Hit,13.86662,18.23787,70,14
Hit,16.216,20.58728,80,13
Hit,18.39018,22.76146,90,12
Hit,20.91026,25.28154,100,11
Hit,23.08764,27.45892,110,10
Hit,25.26256,29.63384,120,9
Hit,27.95589,32.32717,120,9
Hit,30.30377,34.67514,130,8
Hit,32.65004,37.02138,140,7
Hit,35.34332,39.71466,140,7
Hit,37.69132,42.06266,150,6
Hit,40.21208,44.58342,160,5
Hit,42.90435,47.27569,160,5
Hit,45.25149,49.62283,170,4
Hit,47.94425,52.31559,170,4
Hit,50.63638,55.00772,170,4
Hit,53.11188,57.48322,180,3
Hit,55.69968,60.07103,180,3
Miss,58.23245,62.60379,190,2
Start,0.9101297,63.7077,190,2
Hit,4.180113,66.97782,190,2
Hit,7.478223,70.27583,190,2
Hit,11.21803,74.01556,200,1
Hit,15.17744,77.9752,200,1
Hit,19.13787,81.93604,200,1
Clear,21.0934,83.89216,210,0
Start,0.524264,86.58424,210,21
Hit,3.137201,89.19714,210,21
Hit,5.827246,91.88689,210,21
Hit,8.514909,94.57425,220,20
Hit,11.20321,97.26271,230,19
Hit,14.10308,100.1623,240,18
Hit,17.00299,103.0623,250,17
Hit,19.90228,105.9617,260,16
Hit,22.80228,108.8618,280,14
Hit,25.70235,111.7619,290,13
Hit,28.81492,114.8743,310,11
Hit,31.92703,117.9864,320,10
Hit,35.03907,121.0984,330,9
Miss,37.86854,123.9279,340,8
Start,0.9699247,125.1437,340,8
Hit,4.220837,128.3947,340,8
Hit,7.331845,131.5059,350,7
Hit,10.57507,134.7489,370,5
Hit,14.16868,138.3425,370,5
Hit,17.33668,141.5102,380,4
Hit,19.78536,143.9592,390,3
Hit,26.90292,151.0767,400,2
Miss,26.93711,151.1109,400,2
Start,1.808471,157.1007,0,21
Hit,4.423562,159.7164,10,20
Hit,7.110826,162.4038,20,19
Hit,10.01033,165.3031,30,18
Hit,12.91016,168.2033,40,17
Hit,15.36957,170.6623,50,16
Hit,17.56944,172.8621,60,15
Hit,20.11333,175.4064,70,14
Hit,22.31274,177.6057,80,13
Hit,24.68453,179.9772,90,12
Hit,27.40436,182.6972,90,12
Hit,29.94742,185.2395,100,11
Hit,32.66936,187.9613,100,11
Hit,35.42439,190.7164,110,10
Miss,35.67369,190.9655,110,10
Start,0.8982398,192.4913,110,10
Hit,3.973768,195.5672,120,9
Hit,17.26717,208.8606,170,4
Hit,28.26339,219.856,180,3
Miss,32.64685,224.2394,200,1
Start,0.9566671,225.5303,200,1
Hit,4.205229,228.7789,200,1
Hit,7.530435,232.1041,200,1
Hit,10.85408,235.4275,200,1
Hit,14.17832,238.752,200,1
Hit,17.50298,242.0766,200,1
Hit,20.82646,245.4001,200,1
Miss,24.29146,248.8651,200,1
Start,0.7298641,249.8425,200,1
Hit,3.979204,253.0918,200,1
Hit,7.303411,256.4156,200,1
Hit,10.66988,259.7824,200,1
Clear,14.67352,263.7865,210,0
Start,0.5354347,267.1984,210,21
Hit,3.1485,269.8137,210,21
Hit,5.836539,272.5033,210,21
Hit,8.524055,275.1929,220,20
Hit,11.21344,277.8831,230,19
Hit,14.11315,280.7826,240,18
Hit,17.7046,284.3746,250,17
Miss,17.72302,284.393,250,17
Type,Time,AllTime,Score,Block
