Type,Time,AllTime,Score,Block
Start,7.63576,7.633576,0,21
Hit,8.798478,8.798478,10,20
Hit,9.994283,9.994283,20,19
Hit,11.28584,11.28584,30,18
Hit,12.46639,12.46639,50,16
Hit,13.45841,13.45841,60,15
Hit,14.54601,14.54601,70,14
Hit,15.71038,15.71038,80,13
Miss,16.77115,16.76945,90,12
Start,1.582595,18.44436,90,12
Hit,2.931525,19.79327,100,11
Hit,4.223768,21.08551,110,10
Hit,5.515953,22.37766,120,9
Hit,6.711911,23.57364,130,8
Hit,8.148767,25.01049,150,6
Miss,8.157186,25.01891,150,6
Start,1.259587,26.38781,150,6
Hit,2.704537,27.83277,150,6
Hit,4.090249,29.21849,170,4
Hit,5.569424,30.69768,170,4
Hit,7.049757,32.17796,170,4
Hit,8.5286,33.65689,180,3
Hit,10.00953,35.13789,180,3
Hit,11.48953,36.61792,180,3
Hit,12.96993,38.09834,190,2
Hit,14.45015,39.57861,190,2
Hit,15.93024,41.05866,190,2
Hit,17.18215,42.3106,200,1
Hit,18.23017,43.35862,200,1
Hit,19.2782,44.40667,200,1
Hit,20.32607,45.45454,200,1
Clear,20.92036,46.05104,210,0
