Type,Time,AllTime,Score,Block
Start,1.874968,1.874353,0,21
Hit,3.036597,3.036597,10,20
Hit,4.233685,4.233685,20,19
Hit,5.526135,5.526135,30,18
Hit,6.721546,6.721546,50,16
Miss,6.819056,6.818617,50,16
Start,0.7130452,7.779364,50,16
Hit,2.063329,9.12965,60,15
Hit,3.330366,10.39669,70,14
Hit,4.50697,11.57328,80,13
Hit,5.884071,12.9504,100,11
Hit,7.16313,14.22944,110,10
Miss,8.386395,15.4527,120,9
Start,0.4642058,15.99637,120,9
Hit,1.910161,17.44232,120,9
Hit,3.39006,18.92218,130,8
Hit,4.869729,20.40182,130,8
Hit,6.348372,21.88046,140,7
Hit,7.82912,23.3612,140,7
Miss,9.374188,24.90622,140,7
Start,1.309653,26.32264,140,7
Hit,2.757313,27.77026,140,7
Hit,4.237164,29.25009,150,6
Miss,5.496903,30.50978,160,5
Start,0.9280046,33.97711,0,21
Hit,2.09021,35.13939,10,20
Hit,3.286364,36.33553,20,19
Hit,4.577924,37.62711,30,18
Hit,5.758435,38.8076,50,16
Hit,6.749457,39.79866,60,15
Miss,7.892213,40.94144,70,14
Start,0.3224677,41.35354,70,14
Hit,1.672484,42.70356,80,13
Hit,2.96427,43.99541,90,12
Hit,4.160588,45.19172,100,11
Hit,5.54457,46.5757,120,9
Hit,7.024221,48.05533,120,9
Hit,8.504059,49.53517,130,8
Hit,9.795872,50.82697,140,7
Hit,11.1807,52.2118,150,6
Hit,12.66064,53.69178,160,5
Hit,14.13987,55.17104,160,5
Miss,15.36907,56.40024,170,4
Start,0.4361261,56.91364,170,4
Hit,1.881974,58.35946,170,4
Hit,3.266208,59.74369,180,3
Hit,5.378198,61.85568,190,2
Clear,6.758894,63.23699,210,0
Start,0.8464259,66.15524,210,21
Hit,2.008501,67.31736,210,21
Hit,3.203938,68.51283,210,21
Hit,4.399693,69.70862,220,20
Hit,5.596469,70.9055,230,19
Hit,6.887481,72.19647,240,18
Hit,8.179577,73.48849,260,16
Hit,9.472354,74.78113,270,15
Hit,10.76357,76.07232,280,14
Hit,12.05632,77.36517,290,13
Miss,13.50276,78.81155,300,12
Start,1.011498,79.93255,300,12
Hit,2.362201,81.28331,310,11
Hit,3.652453,82.57378,320,10
Miss,5.229719,84.15112,370,6
Start,0.8698472,87.06923,0,21
Hit,2.032059,88.23141,10,20
Hit,3.228555,89.42794,20,19
Hit,4.521682,90.72108,30,18
Hit,5.700594,91.89986,50,16
Hit,6.577681,92.77704,60,15
Miss,7.500226,93.69957,70,14
Start,0.5635491,94.3418,70,14
Hit,1.914895,95.69318,80,13
Hit,3.205091,96.9833,90,12
Hit,4.497365,98.27568,110,10
Hit,5.8829,99.6612,120,9
Hit,7.362946,101.1412,120,9
Hit,8.841875,102.6202,130,8
Hit,10.32224,104.1007,130,8
Hit,11.80195,105.5804,140,7
Hit,13.20892,106.9874,150,6
Miss,13.38897,107.1675,150,6
Start,0.4184623,108.0774,150,6
Hit,1.86395,109.523,150,6
Hit,3.344528,111.0037,160,5
Hit,4.823017,112.4822,160,5
Miss,6.368474,114.0276,160,5
Start,0.4467362,114.5825,160,5
Hit,1.893905,116.0297,160,5
Miss,3.43603,117.5718,160,5
Start,0.5763031,119.5788,0,21
Hit,1.738431,120.741,10,20
Hit,2.932892,121.9353,20,19
Hit,4.226756,123.2292,30,18
Hit,5.406619,124.4091,50,16
Hit,6.410835,125.4133,60,15
Hit,8.990256,127.9926,70,14
Hit,11.53872,130.5408,80,13
Hit,14.28673,133.289,90,12
Hit,16.24568,135.2478,100,11
Hit,17.49459,136.4967,110,10
Hit,18.74199,137.744,120,9
Hit,19.99079,138.9927,130,8
Hit,21.3229,140.325,130,8
Miss,22.71132,141.7133,130,8
Start,0.5819378,142.3947,130,8
Hit,2.027877,143.8407,140,7
Hit,3.507448,145.3204,140,7
Miss,4.954773,146.7676,150,6
Start,0.4309626,147.3074,150,6
Hit,1.878527,148.7547,150,6
Hit,3.357473,150.2337,160,5
Hit,4.838291,151.7148,160,5
Hit,6.317676,153.1941,170,4
Hit,7.798223,154.6746,170,4
Miss,9.340635,156.2172,170,4
Start,0.4992352,156.8262,170,4
Hit,1.943971,158.2707,170,4
Hit,3.430013,159.757,180,3
Hit,4.503963,160.831,180,3
Hit,5.585993,161.9136,180,3
Hit,5.59788,161.9255,180,3
Miss,5.63916,161.9668,180,3
Start,0.5267094,164.286,0,21
Hit,1.688489,165.4479,10,20
Hit,2.884166,166.6435,20,19
Hit,4.176844,167.9363,30,18
Hit,5.355573,169.1149,50,16
Miss,6.402778,170.1621,60,15
Start,1.394404,171.6455,60,15
Hit,2.744955,172.9961,70,14
Miss,4.099554,174.3507,80,13
Start,0.8676057,175.3263,80,13
Hit,2.312055,176.771,90,12
Hit,3.696325,178.155,100,11
Hit,5.176398,179.6353,110,10
Miss,6.624976,181.0836,120,9
Start,0.8854813,182.0779,120,9
Hit,2.331589,183.5239,120,9
Miss,3.874265,185.0668,130,8
Start,0.3426062,186.8425,0,21
Hit,1.504501,188.0042,10,20
Hit,2.700208,189.1996,20,19
Hit,3.991941,190.4911,30,18
Hit,5.177268,191.6765,50,16
Hit,6.440541,192.9395,60,15
Hit,7.700963,194.1998,70,14
Hit,9.048732,195.5478,70,14
Miss,10.91803,197.4175,110,10
Start,0.9119151,198.4098,110,10
Hit,2.356949,199.855,110,10
Hit,3.650669,201.1489,130,8
Hit,5.12982,202.6282,130,8
Miss,6.450436,203.949,140,7
Start,0.865819,204.8906,140,7
Hit,2.311879,206.3364,140,7
Hit,3.791868,207.8168,150,6
Hit,5.271087,209.2962,150,6
Hit,6.752697,210.7773,160,5
Hit,8.23196,212.2569,160,5
Hit,9.712327,213.7377,160,5
Miss,11.06795,215.0934,170,4
Start,0.5785156,215.7809,170,4
Hit,2.025884,217.2282,170,4
Hit,3.516544,218.7186,180,3
Hit,5.65994,220.8622,180,3
Hit,6.821346,222.0234,180,3
Hit,7.976757,223.1792,180,3
Hit,9.085954,224.2885,190,2
Hit,9.087964,224.2905,190,2
Hit,9.091897,224.2944,190,2
Miss,9.110256,224.3127,190,2
Start,0.4223277,226.4216,0,21
Hit,1.583896,227.5836,10,20
Hit,2.780807,228.7806,20,19
Hit,4.071249,230.0707,30,18
Miss,5.304142,231.3037,50,16
Start,0.846219,232.2384,50,16
Hit,2.196479,233.5885,60,15
Hit,3.488573,234.8807,70,14
Hit,4.684388,236.0765,80,13
Hit,6.067995,237.4601,100,11
Hit,7.546891,238.9388,100,11
Hit,9.028649,240.4207,110,10
Hit,10.32076,241.7125,120,9
Hit,11.70401,243.0956,130,8
Hit,13.18473,244.5762,140,7
Hit,16.67063,248.062,150,6
Miss,18.56627,249.9578,160,5
Start,0.8959638,250.9337,160,5
Hit,2.342014,252.3798,160,5
Miss,3.789723,253.8275,170,4
Start,0.4618306,254.3976,170,4
Hit,1.908401,255.8446,170,4
Miss,3.450634,257.3863,170,4
Start,0.5433466,259.7772,0,21
Hit,1.706208,260.9393,10,20
Miss,2.966518,262.1988,20,19
Start,0.5576705,262.8638,20,19
Hit,1.81624,264.1221,30,18
Hit,3.106537,265.4125,40,17
Miss,4.180615,266.4866,50,16
Start,0.4577418,267.0241,50,16
Hit,1.807509,268.3736,60,15
Hit,2.961553,269.5271,70,14
Miss,4.116218,270.6817,80,13
Start,0.4868291,271.2703,80,13
Hit,1.932964,272.7161,90,12
Hit,3.316963,274.0999,100,11
Miss,4.764485,275.5479,110,10
Start,0.6005138,277.7386,0,21
Hit,1.764129,278.9016,10,20
Hit,2.958219,280.0951,20,19
Hit,4.251697,281.3884,30,18
Hit,5.432245,282.5693,50,16
Hit,6.446249,283.5833,60,15
Miss,6.485641,283.6228,60,15
Start,0.6224806,284.3619,60,15
Hit,1.973576,285.714,70,14
Hit,3.27398,287.0139,80,13
Hit,3.296062,287.0359,80,13
Hit,3.297029,287.0369,80,13
Miss,3.329765,287.0697,80,13
Start,0.4874362,287.6665,80,13
Hit,1.933365,289.1125,90,12
Hit,3.318243,290.4972,100,11
Hit,4.802779,291.9819,110,10
Hit,4.828606,292.0077,110,10
Miss,4.866131,292.0453,110,10
Start,0.3738007,292.5317,110,10
Hit,1.819973,293.9781,110,10
Hit,3.203626,295.3625,130,8
Hit,4.683019,296.8425,130,8
Hit,6.163369,298.3225,140,7
Hit,7.547806,299.7067,150,6
Hit,9.027692,301.1873,150,6
Hit,10.50612,302.6661,160,5
Hit,11.98769,304.1463,160,5
Miss,13.53031,305.6881,160,5
Start,0.467037,307.6095,0,21
Hit,1.629896,308.7716,10,20
Hit,2.826058,309.967,20,19
Hit,4.117654,311.2575,30,18
Hit,5.29726,312.4362,50,16
Hit,6.289881,313.4282,60,15
Miss,7.432067,314.5708,70,14
Start,0.2628219,314.9258,70,14
Hit,1.613776,316.2768,80,13
Miss,2.970084,317.6332,90,12
Start,0.1863207,317.9262,90,12
Hit,1.633163,319.3728,100,11
Hit,3.017166,320.7573,110,10
Hit,4.497262,322.2371,120,9
Hit,5.880697,323.6205,130,8
Hit,8.670138,326.4087,140,7
Hit,10.9222,328.659,150,6
Hit,13.53113,331.2677,160,5
Hit,16.31923,334.0531,170,4
Hit,18.57068,336.3031,180,3
Hit,21.35717,339.0887,180,3
Hit,24.14528,341.8755,180,3
Hit,26.93465,344.6629,190,2
Miss,29.4861,347.2128,200,1
Start,1.213243,348.6322,200,1
Hit,2.660886,350.0793,200,1
Hit,4.140575,351.5591,200,1
Clear,4.932924,352.3517,210,0
