Type,Time,AllTime,Score,Block
Start,0.3973186,0.3968205,0,21
Hit,3.012822,3.012822,10,20
Hit,5.700209,5.700209,20,19
Hit,8.600939,8.600939,30,18
Hit,11.50089,11.50089,40,17
Hit,13.95727,13.95727,50,16
Hit,16.15801,16.15801,60,15
Hit,18.70296,18.70296,70,14
Hit,20.90241,20.90241,80,13
Miss,23.3903,23.38881,90,12
Start,1.357128,24.94935,90,12
Hit,4.396331,27.9885,100,11
Hit,7.035862,30.62801,110,10
Hit,9.788715,33.38083,120,9
Hit,12.5408,36.13292,130,8
Hit,15.49669,39.08903,140,7
Hit,18.45267,42.04497,150,6
Hit,21.60886,45.2011,150,6
Hit,24.76435,48.35674,150,6
Hit,27.92074,51.51317,150,6
Hit,30.74408,54.33647,160,5
Hit,33.15103,56.74326,160,5
Hit,36.23298,59.82521,170,4
Hit,39.38295,62.97518,170,4
Hit,42.53696,66.1291,170,4
Hit,45.6883,69.28067,170,4
Hit,48.84074,72.43277,170,4
Miss,51.7317,75.32365,180,3
Start,0.2862795,75.81342,180,3
Hit,3.538201,79.06498,180,3
Hit,6.650166,82.17709,190,2
Hit,10.12222,85.64901,200,1
Hit,13.71319,89.24007,200,1
Clear,15.49722,91.0246,210,0
Start,1.044655,94.0095,210,21
Hit,3.657447,96.62228,210,21
Hit,6.346557,99.31138,210,21
Hit,9.034352,101.999,220,20
Hit,11.72272,104.6874,230,19
Hit,14.62257,107.5872,240,18
Hit,17.52196,110.4865,250,17
Hit,20.42236,113.3869,260,16
Hit,23.32096,116.2855,280,14
Hit,26.22196,119.1864,290,13
Hit,29.33461,122.2991,310,11
Hit,32.44658,125.4114,320,10
Hit,35.55873,128.5234,330,9
Hit,38.24571,131.2108,340,8
Hit,41.35788,134.3235,360,6
Hit,44.46972,137.4355,370,5
Hit,47.79384,140.7598,370,5
Hit,51.11758,144.0836,380,4
Hit,54.44174,147.4078,380,4
Hit,57.55475,150.5204,390,3
Hit,60.38588,153.352,400,2
Hit,63.50909,156.4753,410,1
Clear,65.07394,158.0408,420,0
Start,0.4945538,160.335,420,28
Hit,2.895526,162.7357,430,27
Hit,5.372744,165.2127,440,26
Hit,7.847202,167.6874,450,25
Hit,10.32366,170.1636,460,24
Hit,12.80074,172.6408,470,23
Hit,15.27671,175.1167,480,22
Hit,17.96466,177.805,490,21
Hit,20.86456,180.7045,510,19
Hit,23.97666,183.8161,520,18
Hit,26.66456,186.5043,530,17
Hit,29.56459,189.4049,540,16
Hit,32.46365,192.3036,560,14
Hit,35.78881,195.6285,560,14
Hit,38.90021,198.7396,580,12
Hit,42.01258,201.8521,590,11
Hit,45.33635,205.1764,590,11
Hit,48.23683,208.0767,600,10
Hit,51.1368,210.9766,620,8
Hit,53.95297,213.7926,630,7
Hit,59.17767,219.0174,640,6
Hit,64.91875,224.7586,650,5
Hit,68.64079,228.4809,660,4
Hit,71.2424,231.0824,670,3
Hit,74.2227,234.0625,680,2
Hit,77.01399,236.8538,690,1
Clear,78.41484,238.2553,700,0
Start,0.5119913,240.4027,700,28
Hit,2.91403,242.8049,700,28
Hit,5.429246,245.3196,720,26
Hit,7.939411,247.8295,730,25
Hit,10.8802,250.7708,740,24
Hit,13.82107,253.7116,760,22
Hit,16.7607,256.6505,770,21
Hit,19.9172,259.8055,790,19
Hit,23.07215,262.9591,810,17
Hit,26.44464,266.3318,820,16
Hit,29.81649,269.7042,830,15
Hit,36.16914,276.0612,920,6
Hit,38.52839,278.4223,920,6
Hit,42.0523,281.9475,930,5
Hit,47.71324,287.6113,970,1
Clear,48.71435,288.6129,980,0
Start,1.480963,291.5423,980,35
Hit,3.671492,293.7338,990,34
Hit,5.934704,295.9973,1000,33
Hit,8.198342,298.2616,1010,32
Hit,10.32497,300.3881,1020,31
Hit,12.28079,302.3436,1030,30
Hit,14.42119,304.4845,1030,30
Hit,16.37701,306.4405,1040,29
Hit,18.51663,308.5796,1040,29
Hit,20.6564,310.7198,1040,29
Hit,22.79668,312.8592,1050,28
Hit,24.9364,314.998,1060,27
Hit,27.44513,317.5064,1080,25
Hit,29.9515,320.0116,1090,24
Hit,32.46042,322.5189,1100,23
Hit,34.60141,324.659,1100,23
Hit,41.17575,331.2327,1120,21
Hit,48.57615,338.6315,1130,20
Hit,56.08661,346.1384,1140,19
Hit,60.69859,350.7503,1150,18
Hit,64.27767,354.3303,1170,16
Hit,67.85928,357.9125,1180,15
Hit,71.43879,361.4953,1190,14
Hit,75.01839,365.0785,1200,13
Hit,78.4042,368.4666,1230,10
Hit,80.95221,371.0161,1240,9
Hit,83.501,373.5647,1250,8
Hit,85.87567,375.9412,1260,7
Hit,88.60011,378.667,1270,6
Hit,91.32482,381.3931,1270,6
Hit,94.04823,384.1172,1270,6
Hit,96.77251,386.8431,1270,6
Hit,99.49625,389.5688,1270,6
Hit,102.2203,392.2909,1270,6
Hit,104.9449,395.0158,1270,6
Hit,107.6674,397.7394,1270,6
Hit,110.3916,400.4651,1270,6
Hit,113.1168,403.191,1270,6
Hit,115.8401,405.9163,1270,6
Hit,118.2166,408.2938,1280,5
Hit,120.5924,410.6708,1280,5
Hit,122.9689,413.0473,1290,4
Hit,125.693,415.7706,1300,3
Hit,128.2415,418.319,1310,2
Hit,130.789,420.8662,1320,1
Hit,133.513,423.5904,1320,1
Hit,136.236,426.3138,1320,1
Miss,139.0771,429.1544,1320,1
Start,3.786397,433.1406,1320,1
Hit,7.03646,436.3907,1320,1
Hit,10.36082,439.7154,1320,1
Hit,13.68412,443.0394,1320,1
Clear,15.34192,444.6974,1330,0
Start,0.6947407,451.002,1330,21
Hit,3.309067,453.617,1340,20
Hit,5.996346,456.3051,1350,19
Hit,8.896969,459.2061,1360,18
Type,Time,AllTime,Score,Block
Start,1.741494,1.740916,0,21
Hit,4.355444,4.355444,10,20
Hit,7.041944,7.041944,20,19
Hit,9.942596,9.942596,30,18
Hit,12.84172,12.84172,40,17
Hit,15.30065,15.30065,50,16
Hit,17.50156,17.50156,60,15
Hit,20.04539,20.04539,70,14
Hit,22.24524,22.24524,80,13
Hit,24.61672,24.61672,90,12
Hit,27.33564,27.33564,90,12
Hit,29.88163,29.88163,100,11
Hit,32.60135,32.60135,100,11
Hit,35.32138,35.32138,110,10
Hit,37.69299,37.69299,120,9
Hit,40.39054,40.39054,130,8
Hit,43.37764,43.37764,140,7
Hit,45.38953,45.38953,150,6
Hit,47.87971,47.87971,150,6
Hit,50.21286,50.21286,160,5
Hit,52.54573,52.54573,170,4
Hit,55.03585,55.03585,170,4
Hit,57.72688,57.72688,180,3
Hit,60.55898,60.55898,180,3
Hit,63.39122,63.39122,180,3
Hit,66.27304,66.27304,190,2
Miss,69.32741,69.3271,190,2
Start,1.222495,70.76655,190,2
Hit,4.47262,74.01644,190,2
Hit,7.796782,77.3407,200,1
Hit,11.12104,80.66477,200,1
Hit,14.44538,83.98907,200,1
Hit,17.76952,87.313,200,1
Clear,19.48818,89.03199,210,0
Start,0.3525437,91.3956,210,21
Hit,2.967371,94.01048,210,21
Hit,5.654264,96.69732,210,21
Hit,8.343459,99.38644,220,20
Hit,11.03138,102.0743,230,19
Hit,13.93067,104.9734,240,18
Hit,16.83138,107.8739,250,17
Hit,19.72945,110.7719,260,16
Hit,22.63124,113.6738,280,14
Hit,25.53141,116.5742,290,13
Hit,28.64315,119.6862,310,11
Hit,31.75526,122.7982,320,10
Hit,34.86728,125.9103,330,9
Hit,37.55534,128.5981,340,8
Hit,40.69136,131.7334,360,6
Hit,44.436,135.478,370,5
Hit,48.40848,139.4503,380,4
Hit,52.12498,143.1666,400,2
Hit,56.0956,147.1371,400,2
Hit,60.06916,151.1112,400,2
Hit,64.04121,155.0833,410,1
Clear,65.99938,157.0417,420,0
Start,0.8989199,159.4865,420,28
Hit,3.299451,161.887,430,27
Hit,5.776151,164.3637,440,26
Hit,8.251869,166.8392,450,25
Hit,10.72911,169.3162,460,24
Hit,13.20498,171.7921,470,23
Hit,15.68089,174.2677,480,22
Hit,18.36916,176.9563,490,21
Hit,21.268,179.8555,510,19
Hit,24.37923,182.9664,520,18
Hit,27.06897,185.6562,530,17
Hit,29.96891,188.5565,540,16
Hit,32.86787,191.4554,560,14
Hit,36.19327,194.7809,560,14
Hit,39.30526,197.8927,580,12
Hit,42.41538,201.0032,590,11
Hit,45.74133,204.329,590,11
Hit,48.6414,207.229,600,10
Hit,51.54051,210.1275,620,8
Hit,54.35649,212.9433,630,7
Hit,59.67365,218.2597,640,6
Hit,66.22517,224.8113,640,6
Miss,66.2413,224.8274,640,6
Start,1.253577,226.3574,640,6
Hit,4.080021,229.1841,650,5
Hit,6.767859,231.8721,660,4
Hit,10.14392,235.2484,670,3
Miss,14.19874,239.3031,680,2
Start,1.149922,240.7419,680,2
Hit,4.399673,243.9916,680,2
Hit,7.72391,247.3156,680,2
Hit,11.04799,250.639,680,2
Hit,14.37046,253.9615,680,2
Hit,17.27125,256.8626,690,1
Hit,20.59525,260.1861,690,1
Hit,23.92013,263.5117,690,1
Hit,27.24393,266.8356,690,1
Hit,30.56628,270.1579,690,1
Clear,32.22463,271.8168,700,0
Start,1.410085,274.6105,700,28
Hit,3.810997,277.0089,700,28
Hit,6.325314,279.5215,720,26
Hit,8.837117,282.0323,730,25
Hit,11.77648,284.9706,740,24
Hit,14.7184,287.9124,760,22
Hit,17.65816,290.8519,770,21
Hit,20.81424,294.0085,790,19
Hit,23.97026,297.166,810,17
Hit,27.341,300.538,820,16
Hit,30.71441,303.9135,830,15
Hit,36.53949,309.7416,920,6
Hit,38.90056,312.1023,920,6
Hit,41.25951,314.4602,920,6
Hit,43.61963,316.8197,920,6
Hit,45.97876,319.1783,920,6
Hit,48.34042,321.5403,920,6
Hit,50.69976,323.8991,920,6
Hit,53.06061,326.2602,920,6
Hit,54.81481,328.0136,920,6
Hit,57.17638,330.3755,920,6
Hit,58.93207,332.1313,930,5
Hit,61.29078,334.4892,930,5
Hit,63.65269,336.8496,930,5
Hit,66.01062,339.2066,930,5
Hit,70.71394,343.909,940,4
Hit,79.18967,352.382,950,3
Hit,87.87724,361.0662,960,2
Hit,95.08088,368.2649,970,1
Clear,96.61917,369.803,980,0
Start,1.19959,372.8593,980,35
Hit,3.388931,375.0483,990,34
Hit,5.65282,377.312,1000,33
Hit,7.917247,379.5765,1010,32
Hit,10.04365,381.7001,1020,31
Hit,12.00009,383.6564,1030,30
Hit,14.14007,385.7947,1030,30
Hit,16.09607,387.749,1040,29
Hit,18.23598,389.8873,1040,29
Hit,20.37604,392.0261,1040,29
Hit,22.51616,394.1646,1050,28
Hit,24.65611,396.304,1060,27
Hit,27.16418,398.8123,1080,25
Hit,29.67228,401.3214,1090,24
Hit,32.1785,403.8293,1100,23
Hit,34.31932,405.9712,1100,23
Hit,40.26911,411.9231,1160,17
Hit,46.58208,418.2359,1170,16
Hit,54.51709,426.1751,1180,15
Hit,62.99435,434.6566,1200,13
Hit,69.30515,440.9709,1210,12
Hit,73.34133,445.009,1210,12
Hit,75.3337,447.0024,1220,11
Hit,77.32658,448.9962,1230,10
Hit,79.31731,450.9867,1240,9
Hit,81.31036,452.9801,1250,8
Hit,83.59473,455.2645,1250,8
Hit,85.87723,457.5463,1250,8
Hit,88.16142,459.8298,1250,8
Hit,90.30186,461.9704,1260,7
Hit,92.4416,464.1088,1270,6
Hit,94.58147,466.2484,1280,5
Hit,96.72297,468.389,1290,4
Hit,98.42206,470.0872,1300,3
Hit,100.4142,472.0781,1310,2
Hit,102.6984,474.3616,1310,2
Hit,104.9825,476.6454,1310,2
Hit,107.2647,478.9267,1310,2
Hit,109.5509,481.2121,1310,2
Hit,111.8349,483.4953,1310,2
Hit,114.1179,485.7778,1310,2
Hit,116.4028,488.0627,1310,2
Hit,118.6869,490.3467,1310,2
Hit,120.9707,492.6306,1310,2
Hit,123.2545,494.9145,1310,2
Hit,125.5379,497.1979,1310,2
Hit,127.5306,499.1905,1320,1
Clear,128.7013,500.3609,1330,0
Type,Time,AllTime,Score,Block
Start,0.3984745,0.3966572,0,21
Hit,3.013087,3.013087,10,20
Hit,5.700504,5.700504,20,19
Hit,8.599472,8.599472,30,18
Hit,11.50018,11.50018,40,17
Hit,13.95871,13.95871,50,16
Hit,16.15872,16.15872,60,15
Hit,18.70165,18.70165,70,14
Hit,20.90158,20.90158,80,13
Hit,23.27493,23.27493,90,12
Hit,25.99434,25.99434,90,12
Hit,28.53891,28.53891,100,11
Hit,31.25892,31.25892,100,11
Hit,33.97823,33.97823,110,10
Hit,36.35122,36.35122,120,9
Hit,39.04734,39.04734,130,8
Hit,42.23674,42.23674,150,6
Hit,44.46453,44.46453,160,5
Hit,46.69245,46.69245,170,4
Hit,48.92006,48.92006,180,3
Hit,51.30138,51.30138,180,3
Hit,53.22528,53.22528,190,2
Hit,55.60334,55.60334,190,2
Hit,57.98379,57.98379,190,2
Hit,60.36428,60.36428,190,2
Hit,62.74527,62.74527,190,2
Hit,65.12442,65.12442,190,2
Hit,67.50523,67.50523,190,2
Clear,69.88892,69.88892,210,0
Start,0.2600877,72.77134,210,21
Hit,2.87486,75.38603,210,21
Hit,5.562617,78.07397,210,21
Hit,8.250793,80.762,220,20
Hit,10.93845,83.44973,230,19
Hit,13.83879,86.35039,240,18
Hit,16.73772,89.24926,250,17
Hit,19.63861,92.1502,260,16
Hit,22.53854,95.05032,280,14
Miss,25.57995,98.09187,290,13
Start,0.2583768,98.59663,290,13
Hit,3.296404,101.6347,300,12
Hit,6.198,104.5364,310,11
Hit,9.450226,107.7885,340,8
Hit,11.99962,110.3379,350,7
Hit,14.7563,113.0946,360,6
Hit,17.51087,115.8491,370,5
Hit,20.06287,118.4012,380,4
Hit,22.2471,120.5857,390,3
Hit,24.74834,123.087,390,3
Hit,27.24833,125.5871,390,3
Hit,29.58811,127.9268,400,2
Hit,31.92827,130.267,410,1
Hit,34.42824,132.7666,410,1
Hit,36.92796,135.266,410,1
Hit,39.47218,137.8105,410,1
Miss,39.54757,137.8859,410,1
Start,1.336579,139.4444,410,1
Hit,4.586524,142.6943,410,1
Hit,7.909555,146.0172,410,1
Clear,9.466623,147.5758,420,0
Start,0.1565468,148.8251,420,28
Hit,2.558008,151.2263,430,27
