Type,Time,AllTime,Score,Block
Start,2.142153,2.139843,0,21
Hit,3.303349,3.303349,10,20
Hit,4.4993,4.4993,20,19
Hit,5.791781,5.791781,30,18
Hit,6.972087,6.972087,50,16
Hit,7.965995,7.965995,60,15
Hit,9.057706,9.057706,70,14
Hit,10.23202,10.23202,90,12
Miss,11.38561,11.38506,90,12
Start,0.4728245,11.94091,90,12
Hit,1.822752,13.29082,100,11
Hit,3.20755,14.67561,120,9
Hit,4.402026,15.87011,130,8
Hit,5.883736,17.35178,130,8
Hit,8.502061,19.97011,170,4
Hit,9.558001,21.02608,170,4
Hit,10.60881,22.07689,170,4
Hit,11.66121,23.12932,170,4
Hit,12.71368,24.1818,170,4
Hit,13.76582,25.23393,170,4
Hit,15.71525,27.18328,180,3
Hit,18.36997,29.83801,200,1
Clear,19.23609,30.70623,210,0
Start,0.3523205,33.67664,210,21
Hit,1.513559,34.83784,210,21
Hit,2.710056,36.03439,210,21
Hit,3.90608,37.23049,220,20
Hit,5.100574,38.42495,230,19
Hit,6.393783,39.71816,240,18
Hit,7.686492,41.01083,260,16
Hit,8.976852,42.30114,270,15
Hit,10.26941,43.59369,280,14
Hit,11.56249,44.88668,290,13
Hit,12.94564,46.26991,300,12
Hit,14.32994,47.65417,310,11
Hit,15.62198,48.94624,320,10
Hit,17.00545,50.32969,340,8
Hit,18.48651,51.81086,340,8
Hit,19.96659,53.29089,340,8
Hit,21.34984,54.67416,360,6
Hit,22.83053,56.1548,370,5
Hit,24.30971,57.63386,370,5
Hit,25.79044,59.11448,370,5
Hit,27.36867,60.69273,400,3
Hit,27.56662,60.8907,400,3
Miss,27.58421,60.90829,400,3
Start,1.785122,62.78799,400,3
Hit,3.231363,64.23429,400,3
Hit,4.614074,65.61694,410,2
Hit,6.09575,67.09868,410,2
Hit,7.479098,68.48196,420,1
Clear,8.272094,69.27666,430,0
Start,0.5910599,73.46976,430,28
Hit,1.661236,74.53996,440,27
Hit,4.497434,77.37637,460,25
Hit,9.269526,82.14853,470,24
Hit,14.85168,87.73076,490,22
Hit,20.5582,93.43761,500,21
Hit,28.04912,100.9286,530,18
Hit,35.54194,108.4216,550,16
Hit,41.61803,114.4975,580,13
Hit,42.51401,115.3936,590,12
Hit,43.47341,116.3529,600,11
Miss,44.62528,117.5048,600,11
Start,1.315917,118.9035,600,11
Hit,2.761507,120.349,600,11
Hit,3.949664,121.5372,630,9
Hit,4.841126,122.4287,640,8
Hit,5.802432,123.3899,650,7
Hit,6.832436,124.4199,660,6
Hit,7.934412,125.5218,660,6
Hit,9.007193,126.5944,670,5
Hit,10.20044,127.7879,670,5
Miss,11.36659,128.9541,680,4
Start,0.4624324,131.9693,0,21
Hit,1.62518,133.132,10,20
Hit,2.820547,134.3271,20,19
Hit,4.112891,135.6196,30,18
Hit,5.291904,136.7986,50,16
Hit,6.287107,137.7938,60,15
Hit,7.378012,138.8846,70,14
Hit,8.550977,140.0576,90,12
Hit,11.00999,142.5165,100,11
Hit,14.03937,145.5457,120,9
Hit,15.2194,146.7256,130,8
Miss,16.53195,148.0381,140,7
Start,0.5582103,148.6895,140,7
Hit,1.907029,150.0382,150,6
Hit,3.388149,151.5196,160,5
Hit,7.13939,155.271,170,4
Hit,14.24815,162.3796,180,3
Hit,20.23207,168.3639,190,2
Hit,27.43215,175.565,200,1
Hit,35.12401,183.2572,200,1
Clear,38.99953,187.133,210,0
Start,0.5753349,190.7505,210,21
Hit,1.737297,191.9124,210,21
Hit,2.932738,193.1077,210,21
Hit,4.128765,194.3036,220,20
Hit,5.32447,195.4994,230,19
Hit,6.61689,196.7918,240,18
Hit,7.909423,198.084,260,16
Hit,9.201447,199.3759,270,15
Hit,10.49148,200.6656,280,14
Hit,11.78534,201.9596,290,13
Hit,13.1695,203.3437,300,12
Hit,14.55332,204.7272,310,11
Hit,15.84531,206.0192,320,10
Hit,17.22913,207.4031,340,8
Hit,18.70942,208.8838,340,8
Hit,20.18826,210.3625,340,8
Hit,21.61308,211.7872,360,6
Miss,21.62912,211.8032,360,6
Start,0.7076521,212.5891,360,6
Hit,2.151881,214.0334,360,6
Miss,3.600588,215.4819,370,5
Start,0.9253868,216.5163,370,5
Hit,2.371277,217.9619,370,5
Hit,3.850837,219.4411,380,4
Hit,5.235632,220.8261,390,3
Hit,6.619915,222.2107,400,2
Hit,8.098895,223.6902,400,2
Hit,9.579629,225.1711,400,2
Hit,11.05903,226.6506,410,1
Hit,12.5398,228.1312,410,1
Hit,14.01927,229.6104,410,1
Clear,14.89727,230.489,420,0
Start,0.6866308,235.5195,420,28
Hit,1.757891,236.5908,430,27
Hit,4.594033,239.4268,450,25
Hit,9.361821,244.1951,460,24
Hit,14.81633,249.6486,480,22
Hit,20.46396,255.2954,490,21
Miss,21.77926,256.6109,510,19
Type,Time,AllTime,Score,Block
Start,0.6552843,0.6545942,0,21
Hit,1.818465,1.818465,10,20
Hit,3.013865,3.013865,20,19
Hit,4.306395,4.306395,30,18
