Type,Time,AllTime,Score,Block
Start,1.461917,1.459606,0,21
Hit,2.336784,2.336784,10,20
Hit,3.237452,3.237452,20,19
Hit,4.204661,4.204661,30,18
Hit,5.172671,5.172671,40,17
Hit,6.107106,6.107106,50,16
Hit,7.207258,7.207258,70,14
Hit,8.306775,8.306775,80,13
Miss,9.308563,9.308261,90,12
Start,0.3135331,9.707887,90,12
Hit,1.401123,10.79548,100,11
Miss,2.404549,11.79891,110,10
Start,0.4695905,12.32512,110,10
Miss,1.602497,13.45802,110,10
Start,0.6550217,14.19627,110,10
Hit,1.741104,15.28234,110,10
Hit,2.782066,16.32332,130,8
Hit,3.894263,17.43548,130,8
Hit,5.006081,18.54729,130,8
Hit,5.867333,19.40856,140,7
Hit,6.883502,20.42472,140,7
Hit,7.835415,21.37661,150,6
Hit,8.850164,22.39139,150,6
Miss,9.911528,23.45271,150,6
Start,0.5740073,26.70045,0,21
Hit,1.449967,27.57643,10,20
Hit,2.349012,28.47544,20,19
Hit,3.31699,29.44342,30,18
Hit,4.285618,30.41203,40,17
Hit,5.219879,31.3463,50,16
Hit,6.319969,32.44639,70,14
Hit,7.419925,33.54637,80,13
Hit,8.371902,34.49834,90,12
Hit,9.318751,35.44516,100,11
Hit,10.2675,36.39384,110,10
Hit,11.29099,37.41736,120,9
Hit,12.46589,38.59228,120,9
Hit,13.49185,39.61824,130,8
Miss,14.56505,40.69144,140,7
Start,0.5700729,41.34803,140,7
Hit,1.656266,42.43423,150,6
Hit,2.767867,43.54585,150,6
Miss,3.855916,44.63383,170,4
Start,0.4235868,45.13977,170,4
Hit,1.517959,46.23416,170,4
Hit,1.529377,46.24558,170,4
Hit,1.531971,46.24817,170,4
Hit,1.534021,46.25022,170,4
Miss,1.558194,46.27438,170,4
Start,0.8807561,47.23681,170,4
Hit,1.968316,48.32441,170,4
Hit,2.976159,49.33226,180,3
Hit,3.952159,50.30821,190,2
Miss,5.040768,51.39683,190,2
Start,0.4474685,54.34423,0,21
Hit,1.320935,55.21774,10,20
Hit,2.220869,56.1177,20,19
Hit,3.189113,57.08597,30,18
Hit,4.157324,58.05418,40,17
Hit,5.091364,58.98823,50,16
Hit,6.191553,60.08847,70,14
Hit,7.291543,61.18849,80,13
Miss,8.292526,62.18946,90,12
Start,0.3726477,62.64831,90,12
Hit,1.458791,63.73449,100,11
Miss,2.462559,64.73837,110,10
Start,0.3891521,65.18566,110,10
Hit,1.474433,66.271,110,10
Hit,2.516153,67.31273,130,8
Hit,3.628096,68.42455,130,8
Hit,4.740263,69.53677,130,8
Hit,5.601519,70.39805,140,7
Hit,6.617315,71.41372,140,7
Hit,7.569167,72.36562,150,6
Hit,8.586257,73.38281,150,6
Hit,9.600935,74.39749,150,6
Hit,10.6164,75.41289,150,6
Hit,12.21906,77.01554,160,5
Hit,14.48377,79.28036,160,5
Hit,16.7472,81.54366,170,4
Hit,18.41395,83.21029,180,3
Hit,19.21377,84.01012,180,3
Miss,20.04642,84.84273,180,3
Start,0.8557873,85.76021,180,3
Miss,1.989654,86.89421,180,3
Start,0.4377966,90.41828,0,21
Hit,1.311603,91.29202,10,20
Hit,2.211806,92.19219,20,19
Hit,3.178653,93.15897,30,18
Hit,4.147301,94.12778,40,17
Hit,5.081851,95.0624,50,16
Hit,6.18078,96.16125,70,14
Hit,7.281793,97.26226,80,13
Miss,8.282864,98.26329,90,12
Start,0.4039509,98.75414,90,12
Hit,1.489324,99.83949,100,11
Hit,2.459118,100.8092,110,10
Miss,3.28463,101.6347,110,10
Start,0.5967381,102.2909,110,10
Hit,1.683446,103.3776,110,10
Hit,2.722535,104.4166,130,8
Hit,3.833937,105.5279,130,8
Hit,4.947903,106.6419,130,8
Hit,5.810143,107.5041,140,7
Hit,6.824674,108.5188,140,7
Hit,7.777865,109.4718,150,6
Hit,8.793031,110.4869,150,6
Hit,9.808981,111.5029,150,6
Hit,10.82585,112.5199,150,6
Hit,12.43,114.124,160,5
Hit,14.69792,116.3921,160,5
Hit,16.96478,118.6588,170,4
Hit,19.18836,120.8826,180,3
Hit,21.2411,122.9353,200,1
Miss,22.79339,124.4876,200,1
Start,1.516381,126.1143,200,1
Hit,2.602302,127.2003,200,1
Miss,3.762441,128.3604,200,1
Start,0.3768304,131.4521,0,21
Hit,1.250762,132.3261,10,20
Hit,2.150298,133.2255,20,19
Hit,3.118767,134.1941,30,18
Hit,4.08684,135.1622,40,17
Hit,5.019151,136.094,50,16
Hit,6.119055,137.1938,70,14
Hit,7.220215,138.295,80,13
Hit,8.17177,139.2467,90,12
Hit,9.118814,140.1934,100,11
Miss,10.11782,141.1923,110,10
Start,0.4155124,141.693,110,10
Hit,1.501718,142.779,120,9
Miss,2.505359,143.7823,130,8
Start,0.2417419,144.0826,130,8
Hit,1.326798,145.1676,130,8
Hit,2.367452,146.2084,150,6
Hit,3.47922,147.32,150,6
Hit,4.59151,148.4322,150,6
Hit,5.55978,149.4005,160,5
Hit,6.605998,150.4469,180,3
Hit,7.671872,151.5131,180,3
Miss,8.709449,152.5506,190,2
Start,0.5496539,153.1789,190,2
Hit,1.635987,154.2651,190,2
Miss,2.794249,155.4234,190,2
Type,Time,AllTime,Score,Block
Start,0.3920167,0.3914854,0,21
Hit,1.267458,1.267458,10,20
Hit,2.167492,2.167492,20,19
Hit,3.134448,3.134448,30,18
Hit,4.103298,4.103298,40,17
Hit,5.037313,5.037313,50,16
Hit,6.137335,6.137335,70,14
