Type,Time,AllTime,Score,Block
Start,0.4262144,0.4246081,0,21
Hit,1.588743,1.588743,10,20
Hit,2.784208,2.784208,20,19
Hit,4.076682,4.076682,30,18
Miss,5.308277,5.306696,50,16
Start,0.2621814,5.658572,50,16
Hit,1.612327,7.008716,60,15
Miss,2.966555,8.36296,70,14
Start,0.4497469,8.921218,70,14
Hit,1.899281,10.37074,80,13
Hit,15.14514,23.61655,90,12
Miss,16.17561,24.64697,100,11
Type,Time,AllTime,Score,Block
Start,1.405389,1.403227,0,21
Hit,2.568454,2.568454,10,20
Hit,3.764544,3.764544,20,19
Hit,5.056475,5.056475,30,18
Hit,6.236517,6.236517,50,16
Hit,7.264521,7.264521,60,15
Miss,7.279627,7.278152,60,15
Start,0.4502622,7.814075,60,15
Hit,1.80066,9.164455,70,14
Hit,3.100748,10.46456,80,13
Hit,3.122372,10.48618,80,13
Hit,3.124413,10.48822,80,13
Hit,3.126688,10.4905,80,13
Hit,3.128423,10.49223,80,13
Miss,3.164051,10.52786,80,13
Start,0.4721394,11.12659,80,13
Hit,1.922008,12.57645,90,12
Miss,2.886258,13.54069,100,11
Start,0.2866351,13.91101,100,11
Hit,1.735314,15.35972,100,11
Hit,2.724364,16.34879,110,10
Miss,3.758628,17.38304,120,9
Start,0.2114671,19.62051,0,21
Hit,1.374681,20.78371,10,20
Hit,2.570646,21.97968,20,19
Hit,3.862441,23.27148,30,18
Hit,5.070628,24.47971,50,16
Miss,5.092121,24.5012,50,16
Start,0.6311981,25.21276,50,16
Hit,1.981906,26.56345,60,15
Miss,3.337761,27.91929,70,14
Start,0.4649085,28.49246,70,14
Miss,1.976001,30.00352,80,13
Start,0.3639535,30.47544,80,13
Miss,2.534567,32.64612,130,10
Start,0.2331811,34.23656,0,21
Hit,1.396136,35.39951,10,20
Hit,2.591296,36.59468,20,19
Hit,3.883803,37.8872,30,18
Hit,5.063677,39.06713,50,16
Miss,6.109179,40.11266,60,15
Start,0.4427408,40.64466,60,15
Hit,1.791858,41.99387,70,14
Miss,3.148568,43.35067,80,13
Start,0.1548765,43.61424,80,13
Miss,1.664969,45.12437,90,12
Start,0.3956338,45.62868,90,12
Miss,2.033712,47.26675,130,10
Start,0.2745929,49.06226,0,21
Miss,1.499838,50.28754,10,20
Start,0.3480902,50.74281,10,20
Hit,1.644918,52.03968,20,19
Miss,1.662085,52.05685,20,19
Start,0.6572602,52.79791,20,19
Hit,2.007633,54.14829,30,18
Hit,3.303148,55.44386,40,17
Miss,4.66645,56.80718,50,16
Start,0.6553911,57.58209,50,16
Hit,2.102269,59.02895,60,15
Hit,3.304164,60.23084,70,14
Hit,5.203732,62.13046,80,13
Hit,18.41344,75.34032,90,12
Miss,19.69205,76.61887,100,11
Start,0.01945933,79.67265,0,21
Hit,1.18189,80.83521,10,20
Hit,2.377703,82.03099,20,19
Hit,3.669937,83.3232,30,18
Miss,5.964178,85.61723,40,17
Start,0.4747965,86.29224,40,17
Hit,1.826391,87.64384,50,16
Miss,3.038692,88.85609,60,15
Start,0.4150198,89.37125,60,15
Hit,1.861984,90.81832,70,14
Hit,2.721643,91.67793,80,13
Hit,3.576962,92.53326,90,12
Miss,4.546885,93.5034,100,11
Start,0.4613795,94.04355,100,11
Miss,1.970928,95.55288,100,11
Type,Time,AllTime,Score,Block
Start,0.2577075,0.2572526,0,21
Hit,1.41964,1.41964,10,20
Hit,2.616395,2.616395,20,19
Miss,3.970715,3.970264,30,18
Start,0.2972007,4.377688,30,18
Hit,1.647178,5.72766,40,17
Miss,2.861499,6.941986,50,16
