A,30,22.7,1,0.1666667,4.111111
B,40,33.3,2,0,2.181818
A,30,22.7,1,0.1666667,4.555555
B,40,33.3,2,0.08333334,3.2
C,50,5,3,0,2.090909
A,30,22.7,1,0.07692308,3.090909
A,30,22.7,1,0.25,5.375
B,40,33.3,2,0.08333334,3.2
C,50,5,3,0.08333334,3.2
A,30,22.7,1,0,2
A,30,22.7,1,0,2.181818
B,40,33.3,2,0,2.181818
C,50,5,3,0.08333334,3.2
D,30,5,4,0,2
A,30,22.7,1,0.1153846,7.844444
