A27,50,30,97.52589533,1,0.05660377,0.8301887,0.06818182
A34,60,30,87.99405126,2,0.03773585,0.6415094,0.05882353
A38,70,15,61.01817576,3,0.1538462,0.8846154,0.1739131
A36,70,5,47.57323212,4,0.3846154,1.269231,0.3030303
