ballspeed,5
hit,6.351476E+07,speed,65.00981
hit,6.351622E+07,speed,65.00981
hit,6.351694E+07,speed,65.00981
hit,6.351764E+07,speed,65.00981
miss,63517654,speed,65.00981
GameOvertime,6.351773E+07
score,200
ballspeed,5
starttime,63591692
start,63592070
hit,6.359286E+07,speed,65
miss,63593534,speed,65
start,63594529
miss,63595455,speed,65.00981
start,63595675
miss,63596651,speed,65.00981
start,63596826
hit,6.35978E+07,speed,65.00981
miss,63598679,speed,65.00981
GameOvertime,6.359877E+07
score,60
starttime,63599986
start,63600525
hit,6.360132E+07,speed,65.00981
miss,63601957,speed,65.00981
start,63602581
miss,63603507,speed,65.00981
start,63603699
miss,63604691,speed,65.00981
start,63604979
miss,63606039,speed,65.00981
GameOvertime,6.360611E+07
score,50
