Time,Stage
0,1
57.7414,1
61.8043,2
77.10607,0
79.76579,1
125.7108,0
130.6036,1
189.5676,0
190.7776,1
238.4433,1
240.1331,2
267.5841,0
269.5801,1
328.6978,0
342.2847,1
398.4161,0
399.6227,1
461.37,1
463.0185,2
479.4552,0
480.9454,1
529.4726,0
533.0092,1
609.439,1
611.4487,2
651.9572,0
657.6784,1
706.2897,0
707.7726,1
747.8362,0
750.1172,1
790.9319,0
792.8958,0
