a7,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.4117647,0,0,0,0,0.4117647
try1,0,0.04761905,0.02040816,0,0,0.08484849
try2,0,0.02222222,0,0,0,0.06746031
