a4,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.1627907,0,0,0,0,0.1627907
try1,0.2121212,0,0,0,0,0.1866667
try2,0.2258064,0,0,0,0,0.2
try3,0.2692308,0,0,0,0,0.2153846
try4,0.4375,0,0,0,0,0.2413793
try5,0.35,0,0,0,0,0.2560976
try6,0.2333333,0,0,0,0,0.253886
try7,0.2258064,0,0,0,0,0.2511211
try8,0.1944444,0,0,0,0,0.244186
try9,0.2333333,0,0,0,0,0.2439024
try10,0.1891892,0,0,0,0,0.2383901
try11,0.2692308,0,0,0,0,0.2413793
try12,0.2592593,0,0,0,0,0.2433155
