Time,Stage
0,1
126.5261,1
134.0591,2
202.6832,2
203.8727,3
336.2658,3
337.6535,4
395.1872,0
397.267,1
474.5095,1
476.6064,2
539.9978,2
541.5317,3
626.1265,3
627.7906,4
734.8671,4
739.2795,5
879.3943,5
893.5286,5
