a3,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0,0.02380953,0.08000001,0,0,0.06034483
try1,0,0,0,0,0,0.07608695
try2,0.1944444,0,0,0,0,0.09545455
