a2,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0,1.076923,0,0,0,0.7887324
try1,0.9756098,0,0,0,0,0.8648649
try2,0.84,0,0,0,0,0.8625
try3,0,1,0,0,0,0.8655462
try4,0.7307692,0,0,0,0,0.8442907
try5,0.8163266,0,0,0,0,0.84273
try6,0,1.071429,0,0,0,0.8525
try7,0.9090909,0,0,0,0,0.8600451
try8,0,1.216216,0,0,0,0.8715084
try9,0.9333333,0,0,0,0,0.8777969
try10,0.8333333,0,0,0,0,0.8766234
try11,0.9210526,0,0,0,0,0.8805513
