Time,Score
0,0
126.5261,210
134.0591,210
202.6832,420
203.8727,420
336.2658,700
337.6535,700
395.1872,910
397.267,0
474.5095,210
476.6064,210
539.9978,420
541.5317,420
626.1265,700
627.7906,700
734.8671,980
739.2795,980
879.3943,1330
893.5286,1330
