a4,Stage1,Stage2,Stage3,Stage4,Stage5,AllStage
try0,0.8139535,0,0,0,0,0.8139535
try1,0.8787879,0,0,0,0,0.8533334
try2,0.8064516,0,0,0,0,0.8476191
try3,0.9615384,0,0,0,0,0.8769231
try4,0.9375,0,0,0,0,0.8896552
try5,0.95,0,0,0,0,0.902439
try6,0.8666667,0,0,0,0,0.9015544
try7,0.8387097,0,0,0,0,0.896861
try8,0.7777778,0,0,0,0,0.8837209
try9,0.9666666,0,0,0,0,0.8954704
try10,0.8378378,0,0,0,0,0.8916408
try11,0.7692308,0,0,0,0,0.8850574
try12,0.962963,0,0,0,0,0.8930481
